name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
surv_hull_5,surv_hull,,$technology_name_surv_hull_5,1901,2,90,"hull(-3.5), cost(hull;-3.5), build(-5), torpedo_anti_damage(30),  torpedo_anti_flooding(25), anti_torp_weight(-30), stat(floatability;2.5), accel(-3.5), stat(turn;-4.5), stat(endurance;2.5), antimine(6)",torpedo_belt_2,,$technology_desc_surv_hull_5,"The ship's side armor below the waterline is enhanced with double torpedo bulkheads that can absorb the energy of a torpedo hit or mine. *Mines damage -5%, Torpedoes damage -15%, -20% Fooding chance*",,
surv_hull_6,surv_hull,,$technology_name_surv_hull_6,1909,2,90,"hull(-5), cost(hull;-5), build(-10), torpedo_anti_damage(40),  torpedo_anti_flooding(30), anti_torp_weight(-50), stat(floatability;3.5), accel(-4.5), stat(turn;-6.5), stat(endurance;3.5), antimine(9)",torpedo_belt_3,,$technology_desc_surv_hull_6,"The ship's side armor below the waterline is enhanced with triple torpedo bulkheads increasing further the protection against torpedoes and mines. *Mines damage -7.5%, Torpedoes damage -20%, -30% Flooding chance*",,
surv_hull_7,surv_hull,,$technology_name_surv_hull_7,1921,2,90,"hull(-6.5), cost(hull;-7), build(-15), torpedo_anti_damage(50),  torpedo_anti_flooding(40), anti_torp_weight(-75), stat(floatability;5), accel(-5.5), stat(turn;-8.5), stat(endurance;4.5), antimine(12)",torpedo_belt_4,,$technology_desc_surv_hull_7,"The ship's side armor below the waterline is enhanced with quadruple torpedo bulkheads increasing further the protection against torpedoes and mines. *Mines damage -10%, Torpedoes damage -25%, -40% Flooding chance*",,
surv_hull_8,surv_hull,,$technology_name_surv_hull_8,1930,2,90,"hull(-8), cost(hull;-9), build(-20), torpedo_anti_damage(60),  torpedo_anti_flooding(50), anti_torp_weight(-100), stat(floatability;7.5), accel(-6.5), stat(turn;-10.5), stat(endurance;5.5), antimine(15)",torpedo_belt_5,,$technology_desc_surv_hull_8,"The torpedo belt becomes thicker and extends from the side to the bottom of the hull, offering maximum protection against torpedoes and mines. *Mines damage -12.5%, Torpedoes damage -35%, -40% Flooding chance*",,
surv_hull_end,surv_hull,,$technology_name_surv_hull_end,1933,1,75,"end, hull(-0.5), build(-1), torpedo_anti_damage(1.5),  torpedo_anti_flooding(1), stat(floatability;0.5), antimine(0.25)",,,$technology_desc_surv_hull_end,"The torpedo belt becomes thicker and extends from the side to the bottom of the hull, offering maximum protection against torpedoes and mines. *Mines damage -12.5%, Torpedoes damage -35%, -40% Flooding chance*",,
# $techType_name_surv_internal,surv_internal,,,,,,,,,,,,
surv_internal_1,surv_internal,,$technology_name_surv_internal_1,1891,,34,"heal(5), max_crew_training(10), training_efficiency(5)",,,$technology_desc_surv_internal_1,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_2,surv_internal,,$technology_name_surv_internal_2,1890,,34,start,buklheads_0,,$technology_desc_surv_internal_2,"Making the hull's inner sections thicker makes the ship heavier but also more durable against flooding and fire. *Hull weight +2%, *Floatability +5*, Fire extinguishing +10%*",,
surv_internal_3,surv_internal,,$technology_name_surv_internal_3,1892,1,34,"hull(-5), cost(hull;-5), stat(floatability;2.5), fire_stop(10), anti_fire(5), flash(7.5), flash_spread(10)",buklheads_1,,$technology_desc_surv_internal_3,"Making the hull's inner sections thicker makes the ship heavier but also more durable against flooding and fire. *Hull weight +2%, *Floatability +5*, Fire extinguishing +10%*",,
surv_internal_4,surv_internal,,$technology_name_surv_internal_4,1915,1,34,"hull(-10), cost(hull;-10), stat(floatability;5), fire_stop(20), anti_fire(10), flash(12.5), flash_spread(20)",buklheads_2,,$technology_desc_surv_internal_4,"Subdivisions are better sealed with heavier doors guarding them. *Hull weight +1%, *Flooding repairs +2.5%*",,
surv_internal_5,surv_internal,,$technology_name_surv_internal_5,1890,1,34,"start, hull(-5), deck_c(-25), detonation(15), engine_d(10), stat(endurance;2.5), armor_str(3), armor_c(-3), antimine(5)",Citadel_0,,$technology_desc_surv_internal_5,,,
surv_internal_6,surv_internal,,$technology_name_surv_internal_6,1899,2,34,"hull(-7), deck_c(-30), detonation(20), engine_d(15), stat(endurance;3.5), armor_str(5), armor_c(-5), antimine(7.5)",Citadel_1,,$technology_desc_surv_internal_6,"The ammo storage is armored with thicker steel plates protecting it from shells that penetrate the hull. *Hull weight +0.5%, Reduces chance of magazine detonation -30%*",,
surv_internal_7,surv_internal,,$technology_name_surv_internal_7,1912,2,34,"hull(-12.5), deck_c(-35), build(-10), detonation(40), flash(10), flash_spread(10), engine_d(25), stat(endurance;6.5), armor_str(10), armor_c(-8), antimine(10), flaws(-5)",Citadel_2,,$technology_desc_surv_internal_7,"If ship's armor is allocated cleverly in previously weak sections of hull internals, then armor storage and machinery become much more protected against shell penetration. *Requires: ""All or Nothing armor scheme"" technology, Reduces chance of magazine detonation -30%, Reduces Chance of Engine Damage -30%*",,
surv_internal_8,surv_internal,,$technology_name_surv_internal_8,1893,1,34,"hull(-2.5), cost(hull;-20), flooding_stop(15), pump(10)",Anti_Flooding_1,,$technology_desc_surv_internal_8,The loss of ship's list or trim resulting from flooded compartments can be counter-balanced by the controlled flooding of other subdivisions. *Flooding repairs +5%*,,
surv_internal_9,surv_internal,,$technology_name_surv_internal_9,1896,1,34,"hull(-5), cost(hull;-35), flooding_stop(25), pump(20)",Anti_Flooding_2,,$technology_desc_surv_internal_9,The drainage system consists of special piping installed in the ship and pumps that remove water from flooded spaces. *Water pumping +10%*,,
surv_internal_10,surv_internal,,$technology_name_surv_internal_10,1912,1,34,"hull(-8), cost(hull;-45), flooding_stop(33.5), pump(25)",Anti_Flooding_3,,$technology_desc_surv_internal_10,The usage of more advanced pumps speeds up the removal of water from ship compartments. *Water pumping +10%*,,
surv_internal_11,surv_internal,,$technology_name_surv_internal_11,1890,,34,flooding_stop(5),,,$technology_desc_surv_internal_11,Every ship needs to have carefully designed wooden plugs that can patch cracks and leaks on the hull under emergency situations. *Flooding repairs +2.5%*,,
surv_internal_12,surv_internal,,$technology_name_surv_internal_12,1891,1,34,flooding_stop(5),,,$technology_desc_surv_internal_12,If there are hull leaks they can be repaired faster using new specialized equipment. *Flooding repairs +2.5%*,,
surv_internal_13,surv_internal,,$technology_name_surv_internal_13,1894,1,34,stat(floatability;2.5),,,$technology_desc_surv_internal_13,Flooding the side ballast tanks of the hull with seawater can help to keep the ship afloat or preserve its stability. *Floatability +2.5%*,,
surv_internal_14,surv_internal,,$technology_name_surv_internal_14,1900,1,34,flooding_stop(5),,,$technology_desc_surv_internal_14,A watertight structure that can be placed at flooded compartments that need repairs while its interior is kept dry by pumps. *Flooding repairs +2.5%*,,
surv_internal_15,surv_internal,,$technology_name_surv_internal_15,1916,2,34,module_repair(5),,,$technology_desc_surv_internal_15,"A patent allows the construction of a gas mask that is proven invaluable in repair processes, protecting against toxic gas, electricity, fire heat, smoke, debris and many other hazards that are created when a ship becomes damaged. *Ship repairs +5%*",,
surv_internal_16,surv_internal,,$technology_name_surv_internal_16,1918,2,34,"anti_fire(25), fire_stop(10), flash_spread(10)",,,$technology_desc_surv_internal_16,New technologies provide ship materials that are fire proof. *Reduces chance of fire -25%*,,
surv_internal_17,surv_internal,,$technology_name_surv_internal_17,1925,2,34,module_repair(5),,,$technology_desc_surv_internal_17,"Even when there is complete electrical failure, a diesel generator can provide electricity for the most necessary damage control operations. *Ship repairs +5%*",,
surv_internal_18,surv_internal,,$technology_name_surv_internal_18,1897,2,34,"module_repair(10), module_repair_engine(15)",,,$technology_desc_surv_internal_18,Crew organization includes the necessary personnel and at least one damage control officer who help in restoring malfunctioned ship compartments. *Ship repairs +10%*,,
surv_internal_19,surv_internal,,$technology_name_surv_internal_19,1894,2,34,heal(20),,,$technology_desc_surv_internal_19,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_20,surv_internal,,$technology_name_surv_internal_20,1902,2,34,module_repair_engine(35),,,$technology_desc_surv_internal_20,The damage control organization is enhanced with highly capable officers that insure the ship's machinery operation even at critical states of damage. *Engine repairs +10%*,,
surv_internal_21,surv_internal,,$technology_name_surv_internal_21,1903,2,34,"fire_stop(20), flash_spread(15)",,,$technology_desc_surv_internal_21,The newest fire-fighting equipment found on board ships and the specialized training of the personnel provides better fire fighting capabilities. *Fire extinguishing +10%*,,
surv_internal_22,surv_internal,,$technology_name_surv_internal_22,1899,2,34,heal(20),,,$technology_desc_surv_internal_22,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_23,surv_internal,,$technology_name_surv_internal_23,1899,2,34,heal(10),,,$technology_desc_surv_internal_23,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_24,surv_internal,,$technology_name_surv_internal_24,1905,2,34,heal(10),,,$technology_desc_surv_internal_23,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_25,surv_internal,,$technology_name_surv_internal_25,1915,2,34,heal(10),,,$technology_desc_surv_internal_23,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_26,surv_internal,,$technology_name_surv_internal_26,1925,2,34,heal(10),,,$technology_desc_surv_internal_23,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_27,surv_internal,,$technology_name_surv_internal_27,1935,2,34,heal(10),,,$technology_desc_surv_internal_23,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_28,surv_internal,,$technology_name_surv_internal_28,1940,2,34,heal(20),,,$technology_desc_surv_internal_28,Casualties can recover after a battle because of the dedicated first aid personnel that is trained to deal with emergency health situations. *Up to 50% of the casualties of a surviving ship recover after battle*,,
surv_internal_end,surv_internal,,$technology_name_surv_internal_end,1940,2,55,"end, flash(0.5), flash_spread(0.5), anti_fire(0.5), module_repair(2), module_repair_engine(2.5), heal(0.1)",,,$technology_desc_surv_internal_end,The newest fire-fighting equipment found on board ships and the specialized training of the personnel provides better fire fighting capabilities. *Fire extinguishing +10%*,,
# $techType_name_gun_layout,gun_layout,,,,,,,,,,,,
gun_layout_1,gun_layout,,$technology_name_gun_layout_1,1890,,41,"start, main_center(3), main_side(0), super(0), main_barrels(2;bb;bc;ca), sec_barrels(0), sec_caliber(6), var(use_main_side_guns;0)",,,$technology_desc_gun_layout_1,Capital ships can support up to 2x large guns on double turrets along the centreline of the hull. Smaller secondary guns are available in casemates.,,
gun_layout_2,gun_layout,,$technology_name_gun_layout_2,1890,,41,"start, main_barrels(1)",,,$technology_desc_gun_layout_2,Light ships can support small or medium guns on single turrets. Their secondary guns are available in casemates.,,
gun_layout_3,gun_layout,,$technology_name_gun_layout_3,1891,,41,sec_caliber(7),,"1894, 2",$technology_desc_gun_layout_3,Enables 7-inch secondary guns in casemates.,Enables 7-inch secondary guns in casemates.,
gun_layout_4,gun_layout,,$technology_name_gun_layout_4,1892,,41,sec_caliber(8),,"1897, 1",$technology_desc_gun_layout_4,Enables 8-inch secondary guns in casemates.,Enables 8-inch secondary guns in casemates.,
gun_layout_5,gun_layout,,$technology_name_gun_layout_5,1890,,41,"start, main_side(2)",,,$technology_desc_gun_layout_5,Allows up to 2x large side guns (9 inch or higher).,Allows up to 2x large side guns (9 inch or higher).,
gun_layout_6,gun_layout,,$technology_name_gun_layout_6,1890,,41,"start, main_side(4)",,,$technology_desc_gun_layout_6,Allows up to 2x large side guns (9 inch or higher).,Allows up to 2x large side guns (9 inch or higher).,
gun_layout_7,gun_layout,,$technology_name_gun_layout_7,1899,2,41,main_side(6),,,$technology_desc_gun_layout_7,Allows up to 4x large side guns (9 inch or higher).,Allows up to 4x large side guns (9 inch or higher).,
gun_layout_8,gun_layout,,$technology_name_gun_layout_8,1916,2,41,main_side(8),,,$technology_desc_gun_layout_8,Allows up to 6x large side guns (9 inch or higher).,Allows up to 6x large side guns (9 inch or higher).,
gun_layout_9,gun_layout,,$technology_name_gun_layout_9,1904,1,41,main_center(4),,,$technology_desc_gun_layout_9,Allows up to 4x large centreline guns (9 inch or higher).,Allows up to 4x large centreline guns (9 inch or higher).,
gun_layout_10,gun_layout,,$technology_name_gun_layout_10,1909,2,41,main_center(5),,,$technology_desc_gun_layout_10,Allows up to 5x large centreline guns (9 inch or higher).,Allows up to 5x large centreline guns (9 inch or higher).,
gun_layout_11,gun_layout,,$technology_name_gun_layout_11,1912,1,41,main_center(6),,,$technology_desc_gun_layout_11,Allows up to 6x large centreline guns (9 inch or higher).,Allows up to 6x large centreline guns (9 inch or higher).,
gun_layout_12,gun_layout,,$technology_name_gun_layout_12,1925,1,41,main_center(7),,,$technology_desc_gun_layout_12,Allows up to 7x large centreline guns (9 inch or higher).,Allows up to 7x large centreline guns (9 inch or higher).,
gun_layout_13,gun_layout,,$technology_name_gun_layout_13,1899,2,41,super(1),,,$technology_desc_gun_layout_13,Allows up to 3x large centreline guns (9 inch or higher).,Allows up to 3x large centreline guns (9 inch or higher).,
gun_layout_14,gun_layout,,$technology_name_gun_layout_14,1903,2,41,"super(2), var(use_main_side_guns;0)",,,$technology_desc_gun_layout_14,Allows up to one superimposed large turret (9 inch or higher).,Allows up to one superimposed large turret (9 inch or higher).,
gun_layout_15,gun_layout,,$technology_name_gun_layout_15,1909,2,41,super(3),,,$technology_desc_gun_layout_15,Allows up to 2x superimposed large guns (9 inch or higher).,Allows up to 2x superimposed large guns (9 inch or higher).,
gun_layout_16,gun_layout,,$technology_name_gun_layout_16,1913,2,41,super(4),,,$technology_desc_gun_layout_16,Allows up to 3x superimposed large guns (9 inch or higher).,Allows up to 3x superimposed large guns (9 inch or higher).,
gun_layout_17,gun_layout,,$technology_name_gun_layout_17,1915,2,41,super(5),,,$technology_desc_gun_layout_17,Allows up to 3x superimposed large guns (9 inch or higher).,Allows up to 3x superimposed large guns (9 inch or higher).,
gun_layout_18,gun_layout,,$technology_name_gun_layout_18,1920,2,41,super(6),,,$technology_desc_gun_layout_18,Allows up to 3x superimposed large guns (9 inch or higher).,Allows up to 3x superimposed large guns (9 inch or higher).,
gun_layout_19,gun_layout,,$technology_name_gun_layout_19,1890,,41,"start, detonation(7.5), flash(7.5), flash_explosion(7.5), flash_spread(12.5), weight(gun;-12.5), weight(barbette;-12.5)",barbette_thickness_1,,$technology_desc_gun_layout_19,,,
gun_layout_20,gun_layout,,$technology_name_gun_layout_20,1896,2,41,"detonation(15), flash(12.5), flash_explosion(12.5), flash_spread(20), weight(gun;-17.5), weight(barbette;-17.5)",barbette_thickness_2,,$technology_desc_gun_layout_20,,,
gun_layout_21,gun_layout,,$technology_name_gun_layout_21,1903,2,41,"detonation(20), flash(15), flash_explosion(20), flash_spread(30), weight(gun;-22.5), weight(barbette;-22.5), cost(gun;-3), cost(barbette;-5)",barbette_thickness_3,,$technology_desc_gun_layout_21,,,
gun_layout_22,gun_layout,,$technology_name_gun_layout_22,1915,2,41,"detonation(25), flash(17.5), flash_explosion(25), flash_spread(40), weight(gun;-27.5), weight(barbette;-27.5), cost(gun;-5), cost(barbette;-10)",barbette_thickness_4,,$technology_desc_gun_layout_22,,,
gun_layout_23,gun_layout,,$technology_name_gun_layout_23,1925,2,41,"detonation(30), flash(20), flash_explosion(30), flash_spread(50), weight(gun;-30), weight(barbette;-30), cost(gun;-10), cost(barbette;-15)",barbette_thickness_5,,$technology_desc_gun_layout_23,,,
gun_layout_24,gun_layout,,$technology_name_gun_layout_12_extra,1930,1,39,main_center(8),,,$technology_desc_gun_layout_12_extra,Allows up to 7x large centreline guns (9 inch or higher).,Allows up to 7x large centreline guns (9 inch or higher).,
gun_layout_end,gun_layout,,$technology_name_gun_layout_end,1927,2,55,"end, detonation(1), flash(1.5), flash_explosion(1), flash_spread(1), weight(gun;-0.5), weight(barbette;-1)",,,$technology_desc_gun_layout_end,,,
# $techType_name_gun_mech,gun_mech,,,,,,,,,,,,
gun_mech_1,gun_mech,,$technology_name_gun_mech_1,1890,,27,"start, sec_barrels(1;dd), turret_b_reload(2;-50), turret_b_rotation(2;-10), turret_b_accuracy(2;-10),
turret_b_reload(3;-70), turret_b_rotation(3;-25), turret_b_accuracy(3;-20),
turret_b_reload(4;-85), turret_b_rotation(4;-35), turret_b_accuracy(4;-30), sec_barrels(1;bb;bc;ca)
tech_gun_length_limit(2.5),
tech_gun_length_limit_small(2),
tech_gun_length_limit_casemates(2)",,,$technology_desc_gun_mech_1,Improves Turret Rotation Speed +10%,,
gun_mech_2,gun_mech,,$technology_name_gun_mech_2,1890,,27,start,turret_traverse_0,,$technology_desc_gun_mech_2,,,
gun_mech_3,gun_mech,,$technology_name_gun_mech_3,1891,1,27,gun_rotation(5),,,$technology_desc_gun_mech_3,Improves Turret Rotation Speed +10%,,
gun_mech_4,gun_mech,,$technology_name_gun_mech_4,1893,1,27,gun_rotation(5),,,$technology_desc_gun_mech_4,Improves Turret Rotation Speed +10%,,
gun_mech_5,gun_mech,,$technology_name_gun_mech_5,1895,1,27,"gun_rotation(17.5), engine(-2.5), weight(gun;-7.5)",turret_traverse_1,,$technology_desc_gun_mech_5,,,
gun_mech_6,gun_mech,,$technology_name_gun_mech_6,1896,2,27,"gun_rotation(25), hull(-3), weight(gun;-5), cost(gun;-5), flash_spread(-12.5), flash_explosion(-5), flaws(-3)",turret_traverse_2,,$technology_desc_gun_mech_6,,,
gun_mech_7,gun_mech,,$technology_name_gun_mech_7,1905,3,27,"gun_rotation(35), hull(-3.5), engine(-3.5), weight(gun;-2.5), cost(gun;-8.5), flash_spread(-7.5), flash_explosion(-2.5), flaws(-4)",turret_traverse_3,,$technology_desc_gun_mech_7,,,
gun_mech_8,gun_mech,,$technology_name_gun_mech_8,1916,2,27,"gun_rotation(42.5), hull(-4), weight(gun;-6.5), cost(gun;-7.5), flash_spread(-13.5), flash_explosion(-6), flaws(-5)",turret_traverse_4,,$technology_desc_gun_mech_8,,,
gun_mech_9,gun_mech,,$technology_name_gun_mech_9,1925,3,27,"gun_rotation(52.5), hull(-4.5), engine(-4.5), weight(gun;-4.5), cost(gun;-12.5), flash_spread(-5.5), flash_explosion(-1.5), flaws(-7.5)",turret_traverse_5,,$technology_desc_gun_mech_9,,,
gun_mech_10,gun_mech,,$technology_name_gun_mech_10,1890,,27,start,gun_reload_0,,$technology_desc_gun_mech_10,,,
gun_mech_11,gun_mech,,$technology_name_gun_mech_11,1890,,27,"start, reload(10), hull(-2), weight(gun;-7.5), cost(gun;-10), aim(-12.5), gun_rotation(-7.5)",gun_reload_1,,$technology_desc_gun_mech_11,,,
gun_mech_12,gun_mech,,$technology_name_gun_mech_12,1903,3,27,reload(6),,,$technology_desc_gun_mech_12,Reduces Reload and Rotation Penalty for Twin Turrets -15%.,,
gun_mech_13,gun_mech,,$technology_name_gun_mech_13,1910,3,27,reload(6),,,$technology_desc_gun_mech_13,,,
gun_mech_14,gun_mech,,$technology_name_gun_mech_14,1920,5,27,"reload(15), hull(-5), weight(gun;-12.5), cost(gun;-20), aim(-12.5), gun_rotation(-17.5), flaws(-5)",gun_reload_2,,$technology_desc_gun_mech_14,,,
gun_mech_15,gun_mech,,$technology_name_gun_mech_15,1925,5,27,"reload(20), hull(-6.5), weight(gun;-17.5), cost(gun;-35), aim(-10), gun_rotation(-25), flaws(-7.5)",gun_reload_3,,$technology_desc_gun_mech_15,,,
gun_mech_16,gun_mech,,$technology_name_gun_mech_16,1935,5,27,"reload(27.5), hull(-7.5), weight(gun;-19.5), cost(gun;-45), aim(-5), gun_rotation(-27.5), flaws(-10)",gun_reload_4,,$technology_desc_gun_mech_16,,,
gun_mech_17,gun_mech,,$technology_name_gun_mech_17,1897,2,27,"turret_b_reload(2;10), turret_b_rotation(2;5), turret_b_accuracy(2;5)",,,$technology_desc_gun_mech_17,,,
gun_mech_18,gun_mech,,$technology_name_gun_mech_18,1909,2,27,"turret_b_reload(2;5), turret_b_rotation(2;5), turret_b_accuracy(2;5)",,,$technology_desc_gun_mech_18,,,
gun_mech_19,gun_mech,,$technology_name_gun_mech_19,1913,2,27,main_barrels(3;bb;bc;ca),,,$technology_desc_gun_mech_19,"Enables large triple turrets (9 inch or higher) for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_20,gun_mech,,$technology_name_gun_mech_20,1919,4,27,"turret_b_reload(3;10), turret_b_rotation(3;5), turret_b_accuracy(3;5)",,,$technology_desc_gun_mech_20,,,
gun_mech_21,gun_mech,,$technology_name_gun_mech_21,1924,2,27,"turret_b_reload(3;7.5), turret_b_rotation(3;5), turret_b_accuracy(3;10)",,,$technology_desc_gun_mech_21,,,
gun_mech_22,gun_mech,,$technology_name_gun_mech_22,1925,3,27,main_barrels(4;bb;bc;ca),,,$technology_desc_gun_mech_22,"Enables large quadruple guns (9 inch or higher) for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_23,gun_mech,,$technology_name_gun_mech_23,1930,2,27,"turret_b_reload(4;7.5), turret_b_rotation(4;5), turret_b_accuracy(4;5)",,,$technology_desc_gun_mech_23,,,
gun_mech_24,gun_mech,,$technology_name_gun_mech_24,1934,3,27,"turret_b_reload(4;7.5), turret_b_rotation(4;5), turret_b_accuracy(4;10)",,,$technology_desc_gun_mech_23,,,
gun_mech_25,gun_mech,,$technology_name_gun_mech_25,1890,1,27,"start, sec_barrels(1;cl)",,,$technology_desc_gun_mech_25,Enables double turrets for Light Cruisers.,,
gun_mech_26,gun_mech,,$technology_name_gun_mech_26,1894,1,27,sec_barrels(2;bb;bc;ca),,,$technology_desc_gun_mech_26,"Enables secondary double turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_27,gun_mech,,$technology_name_gun_mech_27,1912,3,27,sec_barrels(3;bb;bc;ca),,,$technology_desc_gun_mech_27,"Enables secondary triple turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_28,gun_mech,,$technology_name_gun_mech_28,1919,2,27,sec_barrels(4;bb;bc;ca),,,$technology_desc_gun_mech_28,"Enables secondary quadruple turrets for Battleships, Battlecruisers, Heavy Cruisers",,
gun_mech_29,gun_mech,,$technology_name_gun_mech_29,1916,3,27,"main_barrels(2;cl), sec_barrels(2;cl)",,,$technology_desc_gun_mech_29,Enables double turrets for Light Cruisers.,,
gun_mech_30,gun_mech,,$technology_name_gun_mech_30,1919,3,27,"main_barrels(2;dd), sec_barrels(2;dd)",,,$technology_desc_gun_mech_30,Enables double turrets for Destroyers.,,
gun_mech_31,gun_mech,,$technology_name_gun_mech_31,1925,3,27,"main_barrels(3;cl), sec_barrels(3;cl)",,,$technology_desc_gun_mech_31,Enables triple turrets for Light Cruisers.,,
gun_mech_32,gun_mech,,$technology_name_gun_mech_32,1927,3,27,"sec_barrels(3;dd), sec_barrels(4;cl)",,,$technology_desc_gun_mech_32,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_54,gun_mech,,$technology_name_gun_mech_54,1935,3,27,"main_barrels(4;cl), sec_barrels(4;dd)",,,$technology_desc_gun_mech_54,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_33,gun_mech,,$technology_name_gun_mech_33,1895,2,27,tech_gun_length_limit(5),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_34,gun_mech,,$technology_name_gun_mech_34,1899,1,27,tech_gun_length_limit(7.5),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_35,gun_mech,,$technology_name_gun_mech_35,1904,1,27,tech_gun_length_limit(10),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_36,gun_mech,,$technology_name_gun_mech_36,1909,1,27,tech_gun_length_limit(12.5),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_37,gun_mech,,$technology_name_gun_mech_37,1918,1,27,tech_gun_length_limit(15),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_38,gun_mech,,$technology_name_gun_mech_38,1926,1,27,tech_gun_length_limit(17.5),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_39,gun_mech,,$technology_name_gun_mech_39,1934,1,27,tech_gun_length_limit(20),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_40,gun_mech,,$technology_name_gun_mech_40,1942,1,27,tech_gun_length_limit(22),,,$technology_desc_gun_mech_33,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_41,gun_mech,,$technology_name_gun_mech_41,1894,2,27,tech_gun_length_limit_small(4),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_42,gun_mech,,$technology_name_gun_mech_42,1899,2,27,tech_gun_length_limit_small(6),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_43,gun_mech,,$technology_name_gun_mech_43,1905,2,27,tech_gun_length_limit_small(8),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_44,gun_mech,,$technology_name_gun_mech_44,1911,2,27,tech_gun_length_limit_small(9),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_45,gun_mech,,$technology_name_gun_mech_45,1916,2,27,tech_gun_length_limit_small(10),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_46,gun_mech,,$technology_name_gun_mech_46,1924,2,27,tech_gun_length_limit_small(12),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_47,gun_mech,,$technology_name_gun_mech_47,1932,2,27,tech_gun_length_limit_small(14),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_48,gun_mech,,$technology_name_gun_mech_48,1940,2,27,tech_gun_length_limit_small(16),,,$technology_desc_gun_mech_41,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_49,gun_mech,,$technology_name_gun_mech_49,1895,1,27,tech_gun_length_limit_casemates(4),,,$technology_desc_gun_mech_49,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_50,gun_mech,,$technology_name_gun_mech_50,1902,1,27,tech_gun_length_limit_casemates(6),,,$technology_desc_gun_mech_49,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
gun_mech_51,gun_mech,,$technology_name_gun_mech_51,1906,1,27,tech_gun_length_limit_casemates(8),,,$technology_desc_gun_mech_49,"Enables secondary single turrets for Battleships, Battlecruisers, Heavy Cruisers.",,
