#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
1407,,Reine Blanche,france,bc,,,,,,
1408,,Thétis,france,bc,,,,,,
1409,,La Galissonnière,france,bc,,,,,,
1410,,Triomphante,france,bc,,,,,,
1411,,Victorieuse,france,bc,,,,,,
1412,,Saint Louis,france,bc,,,,,,
1413,,Fortune,france,bc,,,,,,
1414,,Vierge,france,bc,,,,,,
1415,,Espérance de Dieu,france,bc,,,,,,
1416,,Grand Saint Louis,france,bc,,,,,,
1417,,Neptune,france,bc,,,,,,
1418,,Saint Charles,france,bc,,,,,,
1419,,Cygne,france,bc,,,,,,
1420,,Madeleine de Brest,france,bc,,,,,,
1421,,Marguerite du Ponant,france,bc,,,,,,
1422,,Navire-du-Roi,france,bc,,,,,,
1423,,Couronne,france,bc,,,,,,
1424,,Faucon,france,bc,,,,,,
1425,,Triomphe,france,bc,,,,,,
1426,,Victoire,france,bc,,,,,,
1427,,Almirante,france,bc,,,,,,
1428,,Triton,france,bc,,,,,,
1429,,Levrette,france,bc,,,,,,
1430,,Tigre,france,bc,,,,,,
1431,,Dantzig,france,bc,,,,,,
1432,,Soleil,france,bc,,,,,,
1433,,Saint Thomas d'Aquin,france,bc,,,,,,
1434,,Gloire,france,bc,,,,,,
1435,,Grand Anglais,france,bc,,,,,,
1436,,Dupuy de Lôme,france,ca,,,,,,
1437,,Amiral Charner,france,ca,,,,,,
1438,,Bruix,france,ca,,,,,,
1439,,Chanzy,france,ca,,,,,,
1440,,Latouche-Tréville,france,ca,,,,,,
1441,,Pothuau,france,ca,,,,,,
1442,,Gueydon,france,ca,,,,,,
1443,,Montcalm,france,ca,,,,,,
1444,,Dupetit-Thouars,france,ca,,,,,,
1445,,Dupleix,france,ca,,,,,,
1446,,Desaix,france,ca,,,,,,
1447,,Kléber,france,ca,,,,,,
1448,,Gloire,france,ca,,,,,,
1449,,Marseillaise,france,ca,,,,,,
1450,,Sully,france,ca,,,,,,
1451,,Condé,france,ca,,,,,,
1452,,Amiral Aube,france,ca,,,,,,
1453,,Léon Gambetta,france,ca,,,,,,
1454,,Jules Ferry,france,ca,,,,,,
1455,,Victor Hugo,france,ca,,,,,,
1456,,Jules Michelet,france,ca,,,,,,
1457,,Ernest Renan,france,ca,,,,,,
1458,,Waldeck-Rousseau,france,ca,,,,,,
1459,,Edgar Quinet,france,ca,,,,,,
1460,,Metz,france,ca,,,,,,
1461,,Colmar,france,ca,,,,,,
1462,,Strasbourg,france,ca,,,,,,
1463,,Thionville,france,ca,,,,,,
1464,,Dévastation,france,ca,,,,,,
1465,,Congrève,france,ca,,,,,,
1466,,Foudroyante,france,ca,,,,,,
1467,,Lave,france,ca,,,,,,
1468,,Tonnante,france,ca,,,,,,
1469,,Paixhans,france,ca,,,,,,
1470,,Palestro,france,ca,,,,,,
1471,,Peiho,france,ca,,,,,,
1472,,Saïgon,france,ca,,,,,,
1473,,Arrogante,france,ca,,,,,,
1474,,Implacable,france,ca,,,,,,
1475,,Opiniâtre,france,ca,,,,,,
1476,,Embuscade,france,ca,,,,,,
1477,,Imprenable,france,ca,,,,,,
1478,,Protectrice,france,ca,,,,,,
1479,,Refuge,france,ca,,,,,,
1480,,Rochambeau,france,ca,,,,,,
1481,,Taureau,france,ca,,,,,,
1482,,Cerbère,france,ca,,,,,,
1483,,Bélier,france,ca,,,,,,
1484,,Bouledogue,france,ca,,,,,,
1485,,Tigre,france,ca,,,,,,
1486,,Tonnerre,france,ca,,,,,,
1487,,Fulminant,france,ca,,,,,,
1488,,Furieux,france,ca,,,,,,
1489,,Tempête,france,ca,,,,,,
1490,,Vengeur,france,ca,,,,,,
1491,,Tonnant,france,ca,,,,,,
1492,,Caïman,france,ca,,,,,,
1493,,Amiral-Tréhouart,france,ca,,,,,,
1494,,Bouvines,france,ca,,,,,,
1495,,Valmy,france,ca,,,,,,
1496,,Jemmapes,france,ca,,,,,,
1497,,Henri IV,france,ca,,,,,,
1498,,Duquesne,france,ca,,,,,,
1499,,Tourville,france,ca,,,,,,
1500,,Suffren,france,ca,,,,,,
1501,,Colbert,france,ca,,,,,,
1502,,Foch,france,ca,,,,,,
1503,,Algérie,france,ca,,,,,,
1504,,Sfax,france,cl,,,,,,
1505,,Tage,france,cl,,,,,,
1506,,Amiral Cécille,france,cl,,,,,,
1507,,Davout,france,cl,,,,,,
1508,,Suchet,france,cl,,,,,,
1509,,Forbin,france,cl,,,,,,
1510,,Coetlogon,france,cl,,,,,,
1511,,Surcouf,france,cl,,,,,,
1512,,Troude,france,cl,,,,,,
1513,,Cosmao,france,cl,,,,,,
1514,,Lalande,france,cl,,,,,,
1515,,Linois,france,cl,,,,,,
1516,,Galilée,france,cl,,,,,,
1517,,Lavoisier,france,cl,,,,,,
1518,,Châteaurenault,france,cl,,,,,,
1519,,Alger,france,cl,,,,,,
1520,,Jean Bart,france,cl,,,,,,
1521,,Isly,france,cl,,,,,,
1522,,Friant,france,cl,,,,,,
1523,,Chasseloup Laubat,france,cl,,,,,,
1524,,Bugeaud,france,cl,,,,,,
1525,,Descartes,france,cl,,,,,,
1526,,Pascal,france,cl,,,,,,
1527,,D'Assas,france,cl,,,,,,
1528,,Du Chayla,france,cl,,,,,,
1529,,Cassard,france,cl,,,,,,
1530,,Catinat,france,cl,,,,,,
1531,,Protet,france,cl,,,,,,
1532,,D'Entrecasteaux,france,cl,,,,,,
1533,,Guichen,france,cl,,,,,,
1534,,D'Estrées,france,cl,,,,,,
1535,,Infernet,france,cl,,,,,,
1536,,Jurien de la Gravière,france,cl,,,,,,
1537,,La Motte-Picquet,france,cl,,,,,,
1538,,Mulhouse,france,cl,,,,,,
1539,,Duguay-Trouin,france,cl,,,,,,
1540,,Primauguet,france,cl,,,,,,
1541,,Pluton,france,cl,,,,,,
1542,,Émile Bertin,france,cl,,,,,,
1543,,La Galissonnière,france,cl,,,,,,
1544,,Jean de Vienne,france,cl,,,,,,
1545,,Marseillaise,france,cl,,,,,,
1546,,Montcalm,france,cl,,,,,,
1547,,Georges Leygues,france,cl,,,,,,
1548,,De Grasse,france,cl,,,,,,
1549,,Colbert,france,cl,,,,,,
1550,,Circé,france,cl,,,,,,
1551,,Dupleix,france,cl,,,,,,
1552,,Armorique,france,cl,,,,,,
1553,,Talisman,france,cl,,,,,,
1554,,Flore,france,cl,,,,,,
1555,,Hirondelle,france,cl,,,,,,
1556,,Duquesne,france,cl,,,,,,
1557,,Tourville,france,cl,,,,,,
1558,,Lapérouse,france,cl,,,,,,
1559,,D'Estaing,france,cl,,,,,,
1560,,Nielly,france,cl,,,,,,
1561,,Villars,france,cl,,,,,,
1562,,Forfait,france,cl,,,,,,
1563,,Magon,france,cl,,,,,,
1564,,Roland,france,cl,,,,,,
1565,,Iphigénie,france,cl,,,,,,
1566,,Naïade,france,cl,,,,,,
1567,,Aréthuse,france,cl,,,,,,
1568,,Dubourdieu,france,cl,,,,,,
1569,,Milan,france,cl,,,,,,
1570,,Belliqueuse,france,cl,,,,,,
1571,,Branlebas,france,dd,,,,,,
1572,,Étendard,france,dd,,,,,,
1573,,Fanfare,france,dd,,,,,,
1574,,Fanion,france,dd,,,,,,
1575,,Gabion,france,dd,,,,,,
1576,,Glaive,france,dd,,,,,,
1577,,Oriflamme,france,dd,,,,,,
1578,,Poignard,france,dd,,,,,,
1579,,Sabretache,france,dd,,,,,,
1580,,Sape,france,dd,,,,,,
1581,,Aspirant Herber,france,dd,,,,,,
1582,,Carabinier,france,dd,,,,,,
1583,,Enseigne Henry,france,dd,,,,,,
1584,,Hussard,france,dd,,,,,,
1585,,Lansquenet,france,dd,,,,,,
1586,,Mameluck,france,dd,,,,,,
1587,,Spahi,france,dd,,,,,,
1588,,Voltigeur,france,dd,,,,,,
1589,,Tirailleur,france,dd,,,,,,
1590,,Chasseur,france,dd,,,,,,
1591,,Actée,france,dd,,,,,,
1592,,Cavalier,france,dd,,,,,,
1593,,Fantassin,france,dd,,,,,,
1594,,Janissaire,france,dd,,,,,,
1595,,Bouclier,france,dd,,,,,,
1596,,Boutefeu,france,dd,,,,,,
1597,,Capitaine Mehl,france,dd,,,,,,
1598,,Casque,france,dd,,,,,,
1599,,Cimeterre,france,dd,,,,,,
1600,,Commandant Bory,france,dd,,,,,,
1601,,Commandant Rivière,france,dd,,,,,,
1602,,Dague,france,dd,,,,,,
1603,,Dehorter,france,dd,,,,,,
1604,,Faulx,france,dd,,,,,,
1605,,Fourche,france,dd,,,,,,
1606,,Francis Garnier,france,dd,,,,,,
1607,,Bisson,france,dd,,,,,,
1608,,Renaudin,france,dd,,,,,,
1609,,Commandant Lucas,france,dd,,,,,,
1610,,Protet,france,dd,,,,,,
1611,,Mangini,france,dd,,,,,,
1612,,Magon,france,dd,,,,,,
1613,,Opiniâtre,france,dd,,,,,,
1614,,Aventurier,france,dd,,,,,,
1615,,Téméraire,france,dd,,,,,,
1616,,Intrépide,france,dd,,,,,,
1617,,Enseigne Roux,france,dd,,,,,,
1618,,Mécanicien Principal Lestin,france,dd,,,,,,
1619,,Enseigne Gabolde,france,dd,,,,,,
1620,,Algérien,france,dd,,,,,,
1621,,Annamite,france,dd,,,,,,
1622,,Arabe,france,dd,,,,,,
1623,,Bambara,france,dd,,,,,,
1624,,Hova,france,dd,,,,,,
1625,,Kabyle,france,dd,,,,,,
1626,,Marocain,france,dd,,,,,,
1627,,Sakalave,france,dd,,,,,,
1628,,Sénégalais,france,dd,,,,,,
1629,,Somali,france,dd,,,,,,
1630,,Tonkinois,france,dd,,,,,,
1631,,Touareg,france,dd,,,,,,
1632,,Chacal,france,dd,,,,,,
1633,,Jaguar,france,dd,,,,,,
1634,,Léopard,france,dd,,,,,,
1635,,Lynx,france,dd,,,,,,
1636,,Panthère,france,dd,,,,,,
1637,,Tigre,france,dd,,,,,,
1638,,Bison,france,dd,,,,,,
1639,,Guépard,france,dd,,,,,,
1640,,Lion,france,dd,,,,,,
1641,,Valmy,france,dd,,,,,,
1642,,Verdun,france,dd,,,,,,
1643,,Vauban,france,dd,,,,,,
1644,,Aigle,france,dd,,,,,,
1645,,Vautour,france,dd,,,,,,
1646,,Albatros,france,dd,,,,,,
1647,,Gerfaut,france,dd,,,,,,
1648,,Milan,france,dd,,,,,,
1649,,Épervier,france,dd,,,,,,
1650,,Cassard,france,dd,,,,,,
1651,,Le Chevalier Paul,france,dd,,,,,,
1652,,Kersaint,france,dd,,,,,,
1653,,Maillé Brézé,france,dd,,,,,,
1654,,Tartu,france,dd,,,,,,
1655,,Vauquelin,france,dd,,,,,,
1656,,Fantasque,france,dd,,,,,,
1657,,Le Malin,france,dd,,,,,,
1658,,Terrible,france,dd,,,,,,
1659,,L'Indomptable,france,dd,,,,,,
1660,,L'Audacieux,france,dd,,,,,,
1661,,Triomphant,france,dd,,,,,,
1662,,Mogador,france,dd,,,,,,
1663,,Volta,france,dd,,,,,,
1664,,Bourrasque,france,dd,,,,,,
1665,,Cyclone,france,dd,,,,,,
1666,,Mistral,france,dd,,,,,,
1667,,Orage,france,dd,,,,,,
1668,,Ouragan,france,dd,,,,,,
1669,,Simoun,france,dd,,,,,,
1670,,Sirocco,france,dd,,,,,,
1671,,Tempête,france,dd,,,,,,
1672,,Tornade,france,dd,,,,,,
1673,,Tramontane,france,dd,,,,,,
1674,,Trombe,france,dd,,,,,,
1675,,Typhon,france,dd,,,,,,
1676,,L'Adroit,france,dd,,,,,,
1677,,Basque,france,dd,,,,,,
1678,,Bordelais,france,dd,,,,,,
1679,,Boulonnais,france,dd,,,,,,
1680,,Brestois,france,dd,,,,,,
1681,,Forbin,france,dd,,,,,,
1682,,Frondeur,france,dd,,,,,,
1683,,L'Alcyon,france,dd,,,,,,
1684,,La Palme,france,dd,,,,,,
1685,,La Railleuse,france,dd,,,,,,
1686,,Le Fortuné,france,dd,,,,,,
1687,,Le Mars,france,dd,,,,,,
1688,,Foudroyant,france,dd,,,,,,
1689,,Fougueux,france,dd,,,,,,
1690,,Le Hardi,france,dd,,,,,,
1691,,Fleuret,france,dd,,,,,,
1692,,Épée,france,dd,,,,,,
1693,,Mameluk,france,dd,,,,,,
1694,,Le Flibustier,france,dd,,,,,,
1695,,Siroco,france,dd,,,,,,
1696,,Durandal,france,tb,,,,,,
1697,,Hallebarde,france,tb,,,,,,
1698,,Fauconneau,france,tb,,,,,,
1699,,Espingole,france,tb,,,,,,
1700,,Framée,france,tb,,,,,,
1701,,Yatagan,france,tb,,,,,,
1702,,Pique,france,tb,,,,,,
1703,,Épée,france,tb,,,,,,
1704,,Rochefortais,france,tb,,,,,,
1705,,Pertuisane,france,tb,,,,,,
1706,,Escopette,france,tb,,,,,,
1707,,Flamberge,france,tb,,,,,,
1708,,Rapière,france,tb,,,,,,
1709,,Arbalète,france,tb,,,,,,
1710,,Arc,france,tb,,,,,,
1711,,Arquebuse,france,tb,,,,,,
1712,,Baliste,france,tb,,,,,,
1713,,Bélier,france,tb,,,,,,
1714,,Bombarde,france,tb,,,,,,
1715,,Carabine,france,tb,,,,,,
1716,,Catapulte,france,tb,,,,,,
1717,,Dard,france,tb,,,,,,
1718,,Épieu,france,tb,,,,,,
1719,,Francisque,france,tb,,,,,,
1720,,Fronde,france,tb,,,,,,
1721,,Harpon,france,tb,,,,,,
1722,,Javeline,france,tb,,,,,,
1723,,Mousquet,france,tb,,,,,,
1724,,Mousqueton,france,tb,,,,,,
1725,,Pistolet,france,tb,,,,,,
1726,,Sabre,france,tb,,,,,,
1727,,Sagaie,france,tb,,,,,,
1728,,Sarbacane,france,tb,,,,,,
1729,,Carquois,france,tb,,,,,,
1730,,Claymore,france,tb,,,,,,
1731,,Cognée,france,tb,,,,,,
1732,,Coutelas,france,tb,,,,,,
1733,,Fleuret,france,tb,,,,,,
1734,,Hache,france,tb,,,,,,
1735,,Massue,france,tb,,,,,,
1736,,Mortier,france,tb,,,,,,
1737,,Obusier,france,tb,,,,,,
1738,,Pierrer,france,tb,,,,,,
1739,,Stylet,france,tb,,,,,,
1740,,Trident,france,tb,,,,,,
1741,,Tromblon,france,tb,,,,,,
1742,,Plongeur,france,ss,,,,,,
1743,,Gymnote,france,ss,,,,,,
1744,,Gustave Zédé,france,ss,,,,,,
1745,,Morse,france,ss,,,,,,
1746,,Narval,france,ss,,,,,,
1747,,Sirène,france,ss,,,,,,
1748,,Triton,france,ss,,,,,,
1749,,Farfadet,france,ss,,,,,,
1750,,Korrigan,france,ss,,,,,,
1751,,Gnôme,france,ss,,,,,,
1752,,Lutin,france,ss,,,,,,
1753,,Français,france,ss,,,,,,
1754,,Algérien,france,ss,,,,,,
1755,,Espadon,france,ss,,,,,,
1756,,Silure,france,ss,,,,,,
1757,,Naïade,france,ss,,,,,,
1758,,Protée,france,ss,,,,,,
1759,,Perle,france,ss,,,,,,
1760,,Esturgeon,france,ss,,,,,,
1761,,Bonite,france,ss,,,,,,
1762,,Thon,france,ss,,,,,,
1763,,Souffleur,france,ss,,,,,,
1764,,Dorade,france,ss,,,,,,
1765,,Lynx,france,ss,,,,,,
1766,,Ludion,france,ss,,,,,,
1767,,Loutre,france,ss,,,,,,
1768,,Castor,france,ss,,,,,,
1769,,Phoque,france,ss,,,,,,
1770,,Otarie,france,ss,,,,,,
1771,,Méduse,france,ss,,,,,,
1772,,Oursin,france,ss,,,,,,
1773,,Grondin,france,ss,,,,,,
1774,,Anguille,france,ss,,,,,,
1775,,Alose,france,ss,,,,,,
1776,,Truite,france,ss,,,,,,
1777,,Dauphin,france,ss,,,,,,
1778,,Tarasque,france,ss,,,,,,
1779,,Aigrette,france,ss,,,,,,
1780,,Cigogne,france,ss,,,,,,
1781,,Argonaute,france,ss,,,,,,
1782,,Topaze,france,ss,,,,,,
1783,,Émeraude,france,ss,,,,,,
1784,,Opale,france,ss,,,,,,
1785,,Rubis,france,ss,,,,,,
1786,,Saphir,france,ss,,,,,,
1787,,Turquoise,france,ss,,,,,,
1788,,Circé,france,ss,,,,,,
1789,,Calypso,france,ss,,,,,,
1790,,Guèpe,france,ss,,,,,,
1791,,Pluviôse,france,ss,,,,,,
1792,,Ventôse,france,ss,,,,,,
1793,,Germinal,france,ss,,,,,,
1794,,Floréal,france,ss,,,,,,
1795,,Priarial,france,ss,,,,,,
1796,,Messidor,france,ss,,,,,,
1797,,Thermidor,france,ss,,,,,,
1798,,Fructidor,france,ss,,,,,,
1799,,Vendémiaire,france,ss,,,,,,
1800,,Papin,france,ss,,,,,,
1801,,Fresnel,france,ss,,,,,,
1802,,Berthelot,france,ss,,,,,,
1803,,Monge,france,ss,,,,,,
1804,,Ampère,france,ss,,,,,,
1805,,Gay-Lussac,france,ss,,,,,,
1806,,Watt,france,ss,,,,,,
1807,,Cugnot,france,ss,,,,,,
1808,,Giffard,france,ss,,,,,,
1809,,Archimède,france,ss,,,,,,
1810,,Charles Brun,france,ss,,,,,,
1811,,Mariotte,france,ss,,,,,,
1812,,Brumaire,france,ss,,,,,,
1813,,Frimaire,france,ss,,,,,,
1814,,Nivôse,france,ss,,,,,,
1815,,Foucault,france,ss,,,,,,
1816,,Euler,france,ss,,,,,,
1817,,Franklin,france,ss,,,,,,
1818,,Faraday,france,ss,,,,,,
1819,,Volta,france,ss,,,,,,
1820,,Newton,france,ss,,,,,,
1821,,Montgolfier,france,ss,,,,,,
1822,,Bernouilli,france,ss,,,,,,
1823,,Joule,france,ss,,,,,,
1824,,Coulomb,france,ss,,,,,,
1825,,Arago,france,ss,,,,,,
1826,,Curie,france,ss,,,,,,
1827,,Le Verrier,france,ss,,,,,,
1828,,Amiral Bourgois,france,ss,,,,,,
1829,,Clorinde,france,ss,,,,,,
1830,,Cornélie,france,ss,,,,,,
1831,,Néréide,france,ss,,,,,,
1832,,Amphitrite,france,ss,,,,,,
1833,,Astrée,france,ss,,,,,,
1834,,Artémis,france,ss,,,,,,
1835,,Aréthuse,france,ss,,,,,,
1836,,Atalante,france,ss,,,,,,
1837,,Amarante,france,ss,,,,,,
1838,,Ariane,france,ss,,,,,,
1839,,Andromaque,france,ss,,,,,,
1840,,Bellone,france,ss,,,,,,
1841,,Hermione,france,ss,,,,,,
1842,,Gorgone,france,ss,,,,,,
1843,,Dupuy de Lôme,france,ss,,,,,,
1844,,Sané,france,ss,,,,,,
1845,,Diane,france,ss,,,,,,
1846,,Daphné,france,ss,,,,,,
1847,,Armide,france,ss,,,,,,
1848,,Antigone,france,ss,,,,,,
1849,,Amazone,france,ss,,,,,,
1850,,Joessel,france,ss,,,,,,
1851,,Fulton,france,ss,,,,,,
1852,,Lagrange,france,ss,,,,,,
1853,,Regnault,france,ss,,,,,,
1854,,Romazotti,france,ss,,,,,,
1855,,Jean-Autric,france,ss,,,,,,
1856,,Léon Mignot,france,ss,,,,,,
1857,,Pierre Marast,france,ss,,,,,,
1858,,Jean Roulier,france,ss,,,,,,
1859,,Victor Reveille,france,ss,,,,,,
1860,,René Audry,france,ss,,,,,,
1861,,Helbronn,france,ss,,,,,,
1862,,Roland Morillot,france,ss,,,,,,
1863,,Trinité-Schillemans,france,ss,,,,,,
1864,,Carissan,france,ss,,,,,,
1865,,Jean Corre,france,ss,,,,,,
1866,,O'Byrne,france,ss,,,,,,
1867,,Henri Fournier,france,ss,,,,,,
1868,,Louis Dupetit-Thouars,france,ss,,,,,,
1869,,Maurice Callot,france,ss,,,,,,
1870,,Pierre Chailley,france,ss,,,,,,
1871,,Galatée,france,ss,,,,,,
1872,,Ondine,france,ss,,,,,,
1873,,Danaé,france,ss,,,,,,
1874,,Eurydicé,france,ss,,,,,,
1875,,Nymphe,france,ss,,,,,,
1876,,Doris,france,ss,,,,,,
1877,,Thétis,france,ss,,,,,,
1878,,Sultane,france,ss,,,,,,
1879,,Vestale,france,ss,,,,,,
1880,,Orion,france,ss,,,,,,
1881,,Antiope,france,ss,,,,,,
1882,,Méduse,france,ss,,,,,,
1883,,Oréade,france,ss,,,,,,
1884,,Orphée,france,ss,,,,,,
1885,,La Psyché,france,ss,,,,,,
1886,,La Sibylle,france,ss,,,,,,
1887,,Requin,france,ss,,,,,,
1888,,Caïman,france,ss,,,,,,
1889,,Marsouin,france,ss,,,,,,
1890,,Diamant,france,ss,,,,,,
1891,,Nautilus,france,ss,,,,,,
1892,,Redoutable,france,ss,,,,,,
1893,,Vengeur,france,ss,,,,,,
1894,,Achéron,france,ss,,,,,,
1895,,Achille,france,ss,,,,,,
1896,,Actéon,france,ss,,,,,,
1897,,Agosta,france,ss,,,,,,
1898,,Ajax,france,ss,,,,,,
1899,,Argo,france,ss,,,,,,
1900,,Bévéziers,france,ss,,,,,,
1901,,Casabianca,france,ss,,,,,,
1902,,Le Centaure,france,ss,,,,,,
1903,,Le Conquérant,france,ss,,,,,,
1904,,L'Espoir,france,ss,,,,,,
1905,,Le Héros,france,ss,,,,,,
1906,,Le Glorieux,france,ss,,,,,,
1907,,Ouessant,france,ss,,,,,,
1908,,Pascal,france,ss,,,,,,
1909,,Pasteur,france,ss,,,,,,
1910,,Pégase,france,ss,,,,,,
1911,,Persée,france,ss,,,,,,
1912,,Phénix,france,ss,,,,,,
1913,,Henri Poincare,france,ss,,,,,,
1914,,Poncelet,france,ss,,,,,,
1915,,Prométhée,france,ss,,,,,,
1916,,Sfax,france,ss,,,,,,
1917,,Sidi-Ferruch,france,ss,,,,,,
1918,,Le Tonnant,france,ss,,,,,,
1919,,Surcouf,france,ss,,,,,,
1920,,Junon,france,ss,,,,,,
1921,,Céres,france,ss,,,,,,
1922,,Iris,france,ss,,,,,,
1923,,Minerve,france,ss,,,,,,
1924,,Pallas,france,ss,,,,,,
1925,,Vénus,france,ss,,,,,,
1926,,Africaine,france,ss,,,,,,
1927,,Andromède,france,ss,,,,,,
1928,,Aurore,france,ss,,,,,,
1929,,Créole,france,ss,,,,,,
1930,,Favorite,france,ss,,,,,,
1931,,Morillot,france,ss,,,,,,
###,,,germany,,,,,,,
1933,,Brandenburg,germany,bb,,,,,,
1934,,Kurfürst Friedrich Wilhelm,germany,bb,,,,,,
1935,,Weissenburg,germany,bb,,,,,,
1936,,Wörth,germany,bb,,,,,,
1937,,Kaiser Friedrich III,germany,bb,,,,,,
1938,,Kaiser Wilhelm II,germany,bb,,,,,,
1939,,Kaiser Wilhelm der Grosse,germany,bb,,,,,,
1940,,Kaiser Karl der Grosse,germany,bb,,,,,,
1941,,Kaiser Barbarossa,germany,bb,,,,,,
1942,,Wittelsbach,germany,bb,,,,,,
1943,,Wettin,germany,bb,,,,,,
1944,,Zähringen,germany,bb,,,,,,
1945,,Schwaben,germany,bb,,,,,,
1946,,Mecklenburg,germany,bb,,,,,,
1947,,Braunschweig,germany,bb,,,,,,
1948,,Elsass,germany,bb,,,,,,
1949,,Hessen,germany,bb,,,,,,
1950,,Preussen,germany,bb,,,,,,
1951,,Lothringen,germany,bb,,,,,,
1952,,Deutschland,germany,bb,,,,,,
1953,,Hannover,germany,bb,,,,,,
1954,,Pommern,germany,bb,,,,,,
1955,,Schlesien,germany,bb,,,,,,
1956,,Schleswig-Holstein,germany,bb,,,,,,
1957,,Nassau,germany,bb,,,,,,
1958,,Westfalen,germany,bb,,,,,,
1959,,Rheinland,germany,bb,,,,,,
1960,,Posen,germany,bb,,,,,,
1961,,Helgoland,germany,bb,,,,,,
1962,,Ostfriesland,germany,bb,,,,,,
1963,,Thüringen,germany,bb,,,,,,
1964,,Oldenburg,germany,bb,,,,,,
1965,,Kaiser,germany,bb,,,,,,
1966,,Friedrich der Grosse,germany,bb,,,,,,
1967,,Kaiserin,germany,bb,,,,,,
1968,,Prinzregent Luitpold,germany,bb,,,,,,
1969,,König Albert,germany,bb,,,,,,
1970,,König,germany,bb,,,,,,
1971,,Grosser Kurfürst,germany,bb,,,,,,
1972,,Markgraf,germany,bb,,,,,,
1973,,Kronprinz,germany,bb,,,,,,
1974,,Bayern,germany,bb,,,,,,
1975,,Baden,germany,bb,,,,,,
1976,,Württemberg,germany,bb,,,,,,
1977,,Sachsen,germany,bb,,,,,,
1978,,Scharnhorst,germany,bb,,,,,,
1979,,Gneisenau,germany,bb,,,,,,
1980,,Bismarck,germany,bb,,,,,,
1981,,Tirpitz,germany,bb,,,,,,
1982,,Siegfried,germany,bb,,,,,,
1983,,Beowulf,germany,bb,,,,,,
1984,,Frithjof,germany,bb,,,,,,
1985,,Heimdall,germany,bb,,,,,,
1986,,Hildebrand,germany,bb,,,,,,
1987,,Hagen,germany,bb,,,,,,
1988,,Odin,germany,bb,,,,,,
1989,,Ägir,germany,bb,,,,,,
1990,,Von der Tann,germany,bc,,,,,,
1991,,Moltke,germany,bc,,,,,,
1992,,Goeben,germany,bc,,,,,,
1993,,Seydlitz,germany,bc,,,,,,
1994,,Derfflinger,germany,bc,,,,,,
1995,,Lützow,germany,bc,,,,,,
1996,,Hindenburg,germany,bc,,,,,,
1997,,Mackensen,germany,bc,,,,,,
1998,,Graf Spee,germany,bc,,,,,,
1999,,Prinz Eitel Friedrich,germany,bc,,,,,,
2000,,Fürst Bismarck,germany,bc,,,,,,
2001,,Yorck,germany,bc,,,,,,
2002,,Gneisenau,germany,bc,,,,,,
2003,,Scharnhorst,germany,bc,,,,,,
2004,,Preußen,germany,bc,,,,,,
2005,,Königsberg,germany,bc,,,,,,
2006,,Arminius,germany,bc,,,,,,
2007,,Prinz Adalbert,germany,bc,,,,,,
2008,,Friedrich Carl,germany,bc,,,,,,
2009,,Kronprinz,germany,bc,,,,,,
2010,,König Wilhelm,germany,bc,,,,,,
2011,,Hansa,germany,bc,,,,,,
2012,,Grosser Kurfürst,germany,bc,,,,,,
2013,,Friedrich der Grosse,germany,bc,,,,,,
2014,,Sachsen,germany,bc,,,,,,
2015,,Bayern,germany,bc,,,,,,
2016,,Württemberg,germany,bc,,,,,,
2017,,Baden,germany,bc,,,,,,
2018,,Oldenburg,germany,bc,,,,,,
2019,,Hessen,germany,bc,,,,,,
2020,,Ostmark,germany,bc,,,,,,
2021,,Wuppertal,germany,bc,,,,,,
2022,,Star,germany,bc,,,,,,
2023,,Leipzig,germany,bc,,,,,,
2024,,Lauenburg,germany,bc,,,,,,
2025,,Mars,germany,bc,,,,,,
2026,,Fürst Bismarck,germany,ca,,,,,,
2027,,Prinz Heinrich,germany,ca,,,,,,
2028,,Prinz Adalbert,germany,ca,,,,,,
2029,,Friedrich Carl,germany,ca,,,,,,
2030,,Roon,germany,ca,,,,,,
2031,,Yorck,germany,ca,,,,,,
2032,,Scharnhorst,germany,ca,,,,,,
2033,,Gneisenau,germany,ca,,,,,,
2034,,Blücher,germany,ca,,,,,,
2035,,Lützow,germany,ca,,,,,,
2036,,Admiral Scheer,germany,ca,,,,,,
2037,,Admiral Graf Spee,germany,ca,,,,,,
2038,,Admiral Hipper,germany,ca,,,,,,
2039,,Prinz Eugen,germany,ca,,,,,,
2040,,Seydlitz,germany,ca,,,,,,
2041,,Victoria Louise,germany,ca,,,,,,
2042,,Irene,germany,ca,,,,,,
2043,,Prinzess Wilhelm,germany,ca,,,,,,
2044,,Kaiserin Augusta,germany,ca,,,,,,
2045,,Hertha,germany,ca,,,,,,
2046,,Freya,germany,ca,,,,,,
2047,,Vineta,germany,ca,,,,,,
2048,,Hansa,germany,ca,,,,,,
2049,,Deutschland,germany,ca,,,,,,
2050,,Atlantis,germany,ca,,,,,,
2051,,Coronel,germany,ca,,,,,,
2052,,Komet,germany,ca,,,,,,
2053,,Kormoran,germany,ca,,,,,,
2054,,Michel,germany,ca,,,,,,
2055,,Orion,germany,ca,,,,,,
2056,,Stier,germany,ca,,,,,,
2057,,Thor,germany,ca,,,,,,
2058,,Widder,germany,ca,,,,,,
