#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
#,9,100,,55.309,25.631,14.299,8.774,5.718,3.89,2.732,1.969,1.448,1.084,0.633,0.387,0.245,,0.159,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.45,3.97095,,,
#,10,100,,70.815,34.785,20.052,12.565,8.308,5.708,4.037,2.922,2.156,1.616,0.943,0.574,0.361,,0.234,0.154,,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.3,3.7983,,,
#,11,100,,82.935,42.583,25.289,16.213,10.922,7.622,5.465,4.003,2.984,2.258,1.341,0.828,0.527,,0.345,0.23,,0.156,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.15,3.62565,,,
#,12,100,,95.476,51.082,31.195,20.434,14.008,9.922,7.206,5.339,4.021,3.07,1.852,1.159,0.747,,0.493,0.332,,0.227,0.158,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.1,3.5681,,,
#,13,100,,100,60.035,37.599,25.129,17.521,12.595,9.268,6.948,5.29,4.08,2.506,1.593,1.041,,0.696,0.474,,0.329,0.231,0.164,0.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.05,3.51055,,,
#,14,100,,74.503,40.72,25.579,17.271,12.213,8.925,6.687,5.11,3.969,3.124,2.002,1.328,0.907,,0.633,0.451,,0.326,0.239,0.178,0.133,0.101,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,3.453,,,
#,15,100,,62.067,34.092,21.631,14.779,10.583,7.834,5.947,4.605,3.623,2.89,1.899,1.293,0.905,,0.647,0.472,,0.35,0.263,0.2,0.153,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2.95,3.39545,,,
#,16,100,,51.41,28.353,18.15,12.531,9.074,6.795,5.218,4.087,3.253,2.624,1.765,1.228,0.878,,0.642,0.478,,0.362,0.277,0.215,0.168,0.133,0.085,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,9,0.775,0.891,0.34,0.306,,,
#,17,100,,45.285,25.214,16.3,11.362,8.304,6.274,4.86,3.839,3.08,2.505,1.71,1.208,0.876,,0.649,0.49,,0.375,0.291,0.229,0.181,0.145,0.095,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,10,1.060875,1.353,0.34,0.306,,,
#,18,100,,43.574,24.692,16.157,11.369,8.375,6.371,4.965,3.943,3.18,2.597,1.788,1.272,0.928,,0.692,0.525,,0.404,0.315,0.248,0.198,0.159,0.105,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,19,100,,41.766,24.066,15.928,11.31,8.393,6.426,5.036,4.02,3.257,2.672,1.853,1.327,0.975,,0.73,0.557,,0.431,0.337,0.267,0.213,0.172,0.114,0.065,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,20,100,,40.881,24.004,16.082,11.523,8.614,6.634,5.226,4.19,3.408,2.806,1.958,1.409,1.039,,0.781,0.597,,0.463,0.364,0.288,0.231,0.186,0.124,0.07,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,11,1.553227088,2.058,0.34,0.306,,,
#,21,100,,39.85,23.834,16.16,11.682,8.795,6.814,5.394,4.344,3.547,2.93,2.056,1.487,1.101,,0.831,0.637,,0.496,0.39,0.31,0.249,0.201,0.134,0.076,0.045,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,12,2.1998304,3.3,0.34,0.306,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3.029965088,4.848,0.34,0.306,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4.0754574,6.928,0.34,0.306,,,
#,,,Hit Chance (%),,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.370679688,10.204,0.35,0.315,,,
#,,,Turrets,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6.9525504,14.948,0.36,0.324,,,
#,,,Barrels,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,8.860534088,20.379,0.41,0.369,,,
#,,,Barrels Total,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11.1366414,27.285,0.42,0.378,,,
#,,,Salvo Hit Chance (%),,,,75.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.387,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.396,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.405,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.414,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.423,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.432,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.45,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.468,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironclad_virginia_5,5,10.948608,442.368,7.5,0,0.09,0.8,0.95,0.95,0.05,2,0.00082,0.59426376,19.2375,0.2,10,2.5,8.4,110,1.2,1.23,1.26075,1.29226875,1.324575469,1.74,1.827,1.91835,2.0142675,2.114980875,3,3.15,3.3075,3.472875,3.64651875,385,394.625,404.490625,414.6028906,424.9679629,"1,600","1,680","1,764","1,852","1,945","2,042",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,5950,15.725,17.612,0.87,1.74,0.234,0.468,6.75,20.925
ironclad_virginia_6,6,5.474304,221.184,10,1,0.11,0.95,1,1.15,0.05,3,0.00082,0.6255408,19.2375,0.3,10,3.6,10.157,105,1.451,1.487275,1.524456875,1.562568297,1.601632504,1.5,1.575,1.65375,1.7364375,1.823259375,4,4.2,4.41,4.6305,4.862025,377.3,386.7325,396.4008125,406.3108328,416.4686036,"1,900","1,995","2,095","2,199","2,309","2,425",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,6650,14.985,16.7832,0.75,1.5,0.222,0.444,6.75,20.925
ironclad_virginia_7,7,2.737152,110.592,11,4,0.14,1.25,1.15,0.65,0.1,1.1,0.00082,0.658464,19.2375,0.5,11.5,5.63,14.287,100,2.041,2.092025,2.144325625,2.197933766,2.25288211,1.38,1.449,1.52145,1.5975225,1.677398625,11,11.55,12.1275,12.733875,13.37056875,369.754,378.99785,388.4727963,398.1846162,408.1392316,"2,200","2,310","2,426","2,547","2,674","2,808",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,7350,14.5225,16.2652,0.69,1.38,0.216,0.432,6.75,20.925
ironclad_virginia_8,8,1.368576,55.296,13,9,0.18,1.5,1.3,0.55,0.05,0.9,0.00082,0.69312,19.2375,0.7,13.5,8.64,20.636,95,2.948,3.0217,3.0972425,3.174673563,3.254040402,1.16,1.218,1.2789,1.342845,1.40998725,22,23.1,24.255,25.46775,26.7411375,362.35892,371.417893,380.7033403,390.2209238,399.9764469,"2,500","2,625","2,756","2,894","3,039","3,191",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,8050,14.5225,16.2652,0.58,1.16,0.21,0.42,6.75,20.925
ironclad_virginia_9,9,0.684288,27.648,14,20,0.23,1.75,1.55,0.375,0.2,1,0.00082,0.7296,19.2375,0.95,13.5,10.93,28.574,90,4.082,4.18405,4.28865125,4.395867531,4.50576422,1.04,1.092,1.1466,1.20393,1.2641265,43,45.15,47.4075,49.777875,52.26676875,355.1117416,363.9895351,373.0892735,382.4165054,391.976918,"2,800","2,940","3,087","3,241","3,403","3,574",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,8750,15.2625,17.094,0.52,1.04,0.204,0.408,6.75,20.925
ironclad_virginia_10,10,0.57024,23.04,15,26,0.28,2.1,1.8,0.45,0.22,1.25,0.0007307685,0.768,3.6658125,1.4,13.5,13.5,38.101,85,5.443,5.579075,5.718551875,5.861515672,6.008053564,0.9,0.945,0.99225,1.0418625,1.093955625,54,56.7,59.535,62.51175,65.6373375,348.0095068,356.7097444,365.627488,374.7681752,384.1373796,"3,100","3,255","3,418","3,589","3,768","3,956",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,9450,14.8,16.576,0.45,0.9,0.384,0.768,1.28625,3.987375
ironclad_virginia_11,11,0.4752,19.2,16,33,0.35,2.3,2.2,0.475,0.275,1.35,0.0007307685,0.792,3.6658125,2.2,12,14.52,49.84,80,7.12,7.298,7.48045,7.66746125,7.859147781,0.82,0.861,0.90405,0.9492525,0.996715125,58,60.9,63.945,67.14225,70.4993625,342,350.55,359.31375,368.2965938,377.5040086,"3,400","3,570","3,749","3,936","4,133","4,339",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,10150,14.5225,16.2652,0.41,0.82,0.396,0.792,1.28625,3.987375
ironclad_virginia_12,12,0.396,16,17,42,0.4,2.5,2.5,0.5,0.3,1.4,0.0007307685,0.8,3.6658125,3.3,11,15.84,79.38,75,11.34,11.6235,11.9140875,12.21193969,12.51723818,0.68,0.714,0.7497,0.787185,0.82654425,80,82.8,85.698,88.69743,91.80184005,330,338.25,346.70625,355.3739063,364.2582539,"3,700","3,885","4,079","4,283","4,497","4,722",1,1.05,1.1,1.15,1.2,0.24,0.246,0.25215,0.25845375,0.2649150938,11550,13.875,15.54,0.34,0.68,0.408,0.3672,1.28625,3.6658125
#,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ironclad_monitor_5,5,13.934592,564.0192,7.5,0,0.09,0.8,0.95,0.95,0.05,2,0.00082,0.59426376,19.2375,0.2,11.75,2.93,8.4,110,1.2,1.23,1.26075,1.29226875,1.324575469,1.72,1.806,1.8963,1.991115,2.09067075,3.5,3.675,3.85875,4.0516875,4.254271875,385,394.625,404.490625,414.6028906,424.9679629,"1,600","1,680","1,764","1,852","1,945","2,042",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,5950,15.725,17.612,0.86,1.72,0.234,0.468,6.75,20.925
ironclad_monitor_6,6,6.967296,282.0096,10,1,0.11,0.95,1,1.15,0.05,3,0.00082,0.6255408,19.2375,0.3,11.75,4.23,10.157,105,1.451,1.487275,1.524456875,1.562568297,1.601632504,1.48,1.554,1.6317,1.713285,1.79894925,4.3,4.515,4.74075,4.9777875,5.226676875,377.3,386.7325,396.4008125,406.3108328,416.4686036,"1,900","1,995","2,095","2,199","2,309","2,425",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,6650,14.985,16.7832,0.74,1.48,0.222,0.444,6.75,20.925
ironclad_monitor_7,7,3.483648,141.0048,11,3,0.14,1.25,1.15,0.65,0.1,1.1,0.00082,0.658464,19.2375,0.5,11.75,5.75,14.287,100,2.041,2.092025,2.144325625,2.197933766,2.25288211,1.36,1.428,1.4994,1.57437,1.6530885,12,12.6,13.23,13.8915,14.586075,369.754,378.99785,388.4727963,398.1846162,408.1392316,"2,200","2,310","2,426","2,547","2,674","2,808",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,7350,14.5225,16.2652,0.68,1.36,0.216,0.432,6.75,20.925
ironclad_monitor_8,8,1.741824,70.5024,13,7,0.18,1.5,1.3,0.55,0.05,0.9,0.00082,0.69312,19.2375,0.7,13.75,8.8,20.636,95,2.948,3.0217,3.0972425,3.174673563,3.254040402,1.14,1.197,1.25685,1.3196925,1.385677125,23.9,25.095,26.34975,27.6672375,29.05059938,362.35892,371.417893,380.7033403,390.2209238,399.9764469,"2,500","2,625","2,756","2,894","3,039","3,191",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,8050,14.5225,16.2652,0.57,1.14,0.21,0.42,6.75,20.925
ironclad_monitor_9,9,0.870912,35.2512,14,16,0.23,1.75,1.55,0.375,0.2,1,0.00082,0.7296,19.2375,0.95,13.75,11.13,28.574,90,4.082,4.18405,4.28865125,4.395867531,4.50576422,1.02,1.071,1.12455,1.1807775,1.239816375,45,47.25,49.6125,52.093125,54.69778125,355.1117416,363.9895351,373.0892735,382.4165054,391.976918,"2,800","2,940","3,087","3,241","3,403","3,574",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,8750,15.2625,17.094,0.51,1.02,0.204,0.408,6.75,20.925
ironclad_monitor_10,10,0.72576,29.376,15,20,0.28,2.1,1.8,0.45,0.22,1.25,0.0007307685,0.768,3.6658125,1.4,13.75,13.75,38.101,85,5.443,5.579075,5.718551875,5.861515672,6.008053564,0.88,0.924,0.9702,1.01871,1.0696455,56.2,59.01,61.9605,65.058525,68.31145125,348.0095068,356.7097444,365.627488,374.7681752,384.1373796,"3,100","3,255","3,418","3,589","3,768","3,956",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,9450,14.8,16.576,0.44,0.88,0.384,0.768,1.28625,3.987375
ironclad_monitor_11,11,0.6048,24.48,16,26,0.35,2.3,2.2,0.475,0.275,1.35,0.0007307685,0.792,3.6658125,2.2,13.75,16.63,49.84,80,7.12,7.298,7.48045,7.66746125,7.859147781,0.8,0.84,0.882,0.9261,0.972405,61,64.05,67.2525,70.615125,74.14588125,342,350.55,359.31375,368.2965938,377.5040086,"3,400","3,570","3,749","3,936","4,133","4,339",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,10150,14.5225,16.2652,0.4,0.8,0.396,0.792,1.28625,3.987375
ironclad_monitor_12,12,0.504,20.4,17,33,0.4,2.5,2.5,0.5,0.3,1.4,0.0007307685,0.8,3.6658125,3.3,12,17.28,79.38,75,11.34,11.6235,11.9140875,12.21193969,12.51723818,0.68,0.714,0.7497,0.787185,0.82654425,80,82.8,85.698,88.69743,91.80184005,330,338.25,346.70625,355.3739063,364.2582539,"3,700","3,885","4,079","4,283","4,497","4,722",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,11550,13.875,15.54,0.34,0.68,0.408,0.3672,1.28625,3.6658125
ironclad_monitor_13,13,0.42,17,18,42,0.45,2.8,2.8,0.525,0.325,1.45,0.0007307685,0.8,3.6658125,3.3,10,16.9,87.5,75,12.5,12.8125,13.1328125,13.46113281,13.79766113,0.58,0.609,0.63945,0.6714225,0.704993625,100,103.5,107.1225,110.8717875,114.7523001,310,317.75,325.69375,333.8360938,342.1819961,"4,100","4,305","4,520","4,746","4,984","5,233",1,1.05,1.1,1.15,1.2,0.25,0.25625,0.26265625,0.2692226563,0.2759532227,11550,13.875,15.54,0.29,0.58,0.408,0.3672,1.28625,3.6658125
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firerate,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,13,13.5,14,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,10.692,11.34,11.988,12.636,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.748,9.396,10.044,10.692,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.896,5.8032,6.2568,6.7104,7.164,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,3.87,4.275,4.95,5.49,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.772,3.1185,3.7422,4.3659,4.815,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.376,2.4948,2.80665,3.1185,3.43035,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.151765,2.542995,2.803815,3.064635,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.95615,2.282175,2.6082,2.86902,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.70775,2.12175,2.3805,2.63925,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22259375,1.5,1.9,2.1,2.25,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965034,1.25,1.7,1.9665,2.1735,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79695,1.11573,1.5,1.656,1.863,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7107345,1.0266165,1.3424985,1.5525,1.7595,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.9,1.25,1.4,1.6,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,1.1,1.25,1.35,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.7,0.85,0.95,1.05,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.6,0.7,0.8,0.9,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.5,0.6,0.66,0.72,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.45,0.49,0.55,0.61,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.4,0.44,0.5,0.55,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
