,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
"gun_8_x2_austria_bb, bc",,203,gun_8_x2,"austria,netherlands, ottoman","bb, bc",friedrich_gun_228_x2,0.9,0.975,1.25,1.379,vdt_gun_200_x2,1.3,1.316,1.05,1.097,bismarck_gun_b_150_x2,1.3,1.35,1.29,1.466,de_Ruyter_gun_150_x2,1.47,1.59,1.23,1.45,de_Ruyter_gun_150_x2,1.47,1.59,1.237,1.45,,,,,,,,,,
"gun_8_x3_austria_bb, bc",,203,gun_8_x3,"austria,netherlands, ottoman","bb, bc",friedrich_gun_228_x3,0.9,0.975,1.25,1.379,vdt_gun_200_x3,1.3,1.316,1.05,1.097,bismarck_gun_b_150_x3,1.3,1.35,1.29,1.466,de_Ruyter_gun_150_x3,1.47,1.59,1.23,1.45,de_Ruyter_gun_150_x3,1.47,1.59,1.237,1.45,,,,,,,,,,
"gun_8_x1_austria_ca,cl",,203,gun_8_x1,"austria,netherlands, ottoman","ca,cl",friedrich_gun_228_x1,0.9,0.975,1.25,1.379,vdt_gun_200_x1,1.3,1.316,1.05,1.097,bismarck_gun_b_150_x1,1.3,1.35,1.29,1.466,de_Ruyter_gun_150_x1,1.47,1.59,1.23,1.45,de_Ruyter_gun_150_x1,1.47,1.59,1.23,1.45,,,,,,,,,,
"gun_8_x2_austria_ca,cl",,203,gun_8_x2,"austria,netherlands, ottoman","ca,cl",friedrich_gun_228_x2,0.9,0.975,1.25,1.379,vdt_gun_200_x2,1.3,1.316,1.05,1.097,bismarck_gun_b_150_x2,1.3,1.35,1.29,1.466,de_Ruyter_gun_150_x2,1.47,1.59,1.23,1.45,de_Ruyter_gun_150_x2,1.47,1.59,1.23,1.45,,,,,,,,,,
"gun_8_x3_austria_ca,cl",,203,gun_8_x3,"austria,netherlands, ottoman","ca,cl",friedrich_gun_228_x3,0.9,0.975,1.25,1.379,vdt_gun_200_x3,1.3,1.316,1.05,1.097,bismarck_gun_b_150_x3,1.3,1.35,1.29,1.466,de_Ruyter_gun_150_x3,1.47,1.59,1.23,1.45,de_Ruyter_gun_150_x3,1.47,1.59,1.23,1.45,,,,,,,,,,
"gun_9_x1_austria_bb, bc, ca, cl",,229,gun_9_x1,"austria,netherlands, ottoman","bb, bc, ca, cl",friedrich_gun_228_x1,1,1.0725,1.25,1.371,friedrich_gun_228_x1,1,1.0725,1.25,1.371,vdt_gun_280_x1,0.81,0.89,1.37,1.395,de_Ruyter_gun_150_x1,1.6,1.75,1.23,1.47,de_Ruyter_gun_150_x1,1.6,1.75,1.23,1.47,,,,,,,,,,
"gun_9_x2_austria_bb, bc, ca, cl",,229,gun_9_x2,"austria,netherlands, ottoman","bb, bc, ca, cl",friedrich_gun_228_x2,1,1.0725,1.25,1.371,friedrich_gun_228_x2,1,1.0725,1.25,1.371,vdt_gun_280_x2,0.81,0.89,1.37,1.395,de_Ruyter_gun_150_x2,1.6,1.75,1.23,1.47,de_Ruyter_gun_150_x2,1.6,1.75,1.23,1.47,,,,,,,,,,
"gun_9_x3_austria_bb, bc, ca, cl",,229,gun_9_x3,"austria,netherlands, ottoman","bb, bc, ca, cl",friedrich_gun_228_x3,1,1.0725,1.25,1.371,friedrich_gun_228_x3,1,1.0725,1.25,1.371,vdt_gun_280_x3,0.81,0.89,1.37,1.395,de_Ruyter_gun_150_x3,1.6,1.75,1.23,1.47,de_Ruyter_gun_150_x3,1.6,1.75,1.23,1.47,,,,,,,,,,
"gun_10_x1_austria_bb, bc, ca",,254,gun_10_x1,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_228_x1,1.1,1.17,1.25,1.325,friedrich_gun_228_x1,1.1,1.17,1.25,1.325,dreadnought_gun_c_305_x1,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x1,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x1,0.88,0.92,1.2,1.25,,,,,,,,,,
"gun_10_x2_austria_bb, bc, ca",,254,gun_10_x2,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_228_x2,1.1,1.17,1.25,1.325,friedrich_gun_228_x2,1.1,1.17,1.25,1.325,dreadnought_gun_c_305_x2,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x2,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x2,0.88,0.92,1.2,1.25,,,,,,,,,,
"gun_10_x3_austria_bb, bc, ca",,254,gun_10_x3,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_228_x3,1.1,1.17,1.25,1.325,friedrich_gun_228_x3,1.1,1.17,1.25,1.325,dreadnought_gun_c_305_x3,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x3,0.88,0.92,1.2,1.25,dreadnought_gun_c_305_x3,0.88,0.92,1.2,1.25,,,,,,,,,,
"gun_11_x1_austria_bb, bc, ca",,279,gun_11_x1,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_305_x1,1.2,1.2675,1.25,0.93,friedrich_gun_305_x1,1.2,1.2675,1.25,0.93,dreadnought_gun_c_305_x1,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x1,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x1,0.93,0.99,1.2,1.046,,,,,,,,,,
"gun_11_x2_austria_bb, bc, ca",,279,gun_11_x2,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_305_x2,1.2,1.2675,1.25,0.93,friedrich_gun_305_x2,1.2,1.2675,1.25,0.93,dreadnought_gun_c_305_x2,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x2,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x2,0.93,0.99,1.2,1.046,,,,,,,,,,
"gun_11_x3_austria_bb, bc, ca",,279,gun_11_x3,"austria,netherlands, ottoman","bb, bc, ca",friedrich_gun_305_x3,1.2,1.2675,1.25,0.93,friedrich_gun_305_x3,1.2,1.2675,1.25,0.93,dreadnought_gun_c_305_x3,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x3,0.93,0.99,1.2,1.046,dreadnought_gun_c_305_x3,0.93,0.99,1.2,1.046,,,,,,,,,,
"gun_12_x1_austria_bb, bc, ca",,305,gun_12_x1,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x1,1,1.0725,1.5,1.212,vdt_gun_280_x1,1.063,1.086,1.37,1.102,dreadnought_gun_c_305_x1,1,1.09,1.2,1.046,dreadnought_gun_c_305_x1,1,1.09,1.2,1.046,dreadnought_gun_c_305_x1,1,1.09,1.2,1.046,,,,,,,,,,
"gun_12_x2_austria_bb, bc, ca",,305,gun_12_x2,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x2,1,1.0725,1.5,1.212,vdt_gun_280_x2,1.063,1.086,1.37,1.102,dreadnought_gun_c_305_x2,1,1.09,1.2,1.046,dreadnought_gun_c_305_x2,1,1.09,1.2,1.046,dreadnought_gun_c_305_x2,1,1.09,1.2,1.046,,,,,,,,,,
"gun_12_x3_austria_bb, bc, ca",,305,gun_12_x3,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x3,1,1.0725,1.5,1.212,vdt_gun_280_x3,1.063,1.086,1.37,1.102,dreadnought_gun_c_305_x3,1,1.09,1.2,1.046,dreadnought_gun_c_305_x3,1,1.09,1.2,1.046,dreadnought_gun_c_305_x3,1,1.09,1.2,1.046,,,,,,,,,,
"gun_13_x1_austria_bb, bc, ca",,330,gun_13_x1,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x1,1.1,1.1875,1.5,1.176,vdt_gun_280_x1,1.1,1.145625,1.35,1.1363,dreadnought_gun_c_305_x1,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x1,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x1,1.1,1.19,1.2,1.02,,,,,,,,,,
"gun_13_x2_austria_bb, bc, ca",,330,gun_13_x2,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x2,1.1,1.1875,1.5,1.176,vdt_gun_280_x2,1.1,1.145625,1.35,1.1363,dreadnought_gun_c_305_x2,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x2,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x2,1.1,1.19,1.2,1.02,,,,,,,,,,
"gun_13_x3_austria_bb, bc, ca",,330,gun_13_x3,"austria,netherlands","bb, bc, ca",friedrich_gun_305_x3,1.1,1.1875,1.5,1.176,vdt_gun_280_x3,1.1,1.145625,1.35,1.1363,dreadnought_gun_c_305_x3,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x3,1.1,1.19,1.2,1.02,dreadnought_gun_c_305_x3,1.1,1.19,1.2,1.02,,,,,,,,,,
"gun_14_x1_austria_bb, bc, ca",,356,gun_14_x1,austria,"bb, bc, ca",vdt_gun_280_x1,1.157,1.2,1.33,1.1627,vdt_gun_280_x1,1.157,1.2,1.33,1.1627,dreadnought_gun_c_305_x1,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x1,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x1,1.2,1.29,1.2,1.02,,,,,,,,,,
"gun_14_x2_austria_bb, bc, ca",,356,gun_14_x2,austria,"bb, bc, ca",vdt_gun_280_x2,1.157,1.2,1.33,1.1627,vdt_gun_280_x2,1.157,1.2,1.33,1.1627,dreadnought_gun_c_305_x2,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x2,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x2,1.2,1.29,1.2,1.02,,,,,,,,,,
"gun_14_x3_austria_bb, bc, ca",,356,gun_14_x3,austria,"bb, bc, ca",vdt_gun_280_x3,1.157,1.2,1.33,1.1627,vdt_gun_280_x3,1.157,1.2,1.33,1.1627,dreadnought_gun_c_305_x3,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x3,1.2,1.29,1.2,1.02,dreadnought_gun_c_305_x3,1.2,1.29,1.2,1.02,,,,,,,,,,
"gun_15_x1_austria_bb, bc, ca",,381,gun_15_x1,austria,"bb, bc, ca",vdt_gun_280_x1,1.23,1.27,1.33,1.1627,vdt_gun_280_x1,1.23,1.27,1.33,1.1627,dreadnought_gun_c_305_x1,1.3,1.39,1.2,,dreadnought_gun_c_305_x1,1.3,1.39,1.2,,dreadnought_gun_c_305_x1,1.3,1.39,1.2,,,,,,,,,,,
"gun_15_x2_austria_bb, bc, ca",,381,gun_15_x2,austria,"bb, bc, ca",vdt_gun_280_x2,1.23,1.27,1.33,1.1627,vdt_gun_280_x2,1.23,1.27,1.33,1.1627,dreadnought_gun_c_305_x2,1.3,1.39,1.2,,dreadnought_gun_c_305_x2,1.3,1.39,1.2,,dreadnought_gun_c_305_x2,1.3,1.39,1.2,,,,,,,,,,,
"gun_15_x3_austria_bb, bc, ca",,381,gun_15_x3,austria,"bb, bc, ca",vdt_gun_280_x3,1.23,1.27,1.33,1.1627,vdt_gun_280_x3,1.23,1.27,1.33,1.1627,dreadnought_gun_c_305_x3,1.3,1.39,1.2,,dreadnought_gun_c_305_x3,1.3,1.39,1.2,,dreadnought_gun_c_305_x3,1.3,1.39,1.2,,,,,,,,,,,
"gun_16_x1_austria_bb, bc, ca",,406,gun_16_x1,austria,"bb, bc, ca",vdt_gun_280_x1,1.3,1.37,1.33,1.1627,vdt_gun_280_x1,1.3,1.37,1.33,1.1627,dreadnought_gun_c_305_x1,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x1,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x1,1.4,1.59,1.2,0.98,,,,,,,,,,
"gun_16_x2_austria_bb, bc, ca",,406,gun_16_x2,austria,"bb, bc, ca",vdt_gun_280_x2,1.3,1.37,1.33,1.1627,vdt_gun_280_x2,1.3,1.37,1.33,1.1627,dreadnought_gun_c_305_x2,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x2,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x2,1.4,1.59,1.2,0.98,,,,,,,,,,
"gun_16_x3_austria_bb, bc, ca",,406,gun_16_x3,austria,"bb, bc, ca",vdt_gun_280_x3,1.3,1.37,1.33,1.1627,vdt_gun_280_x3,1.3,1.37,1.33,1.1627,dreadnought_gun_c_305_x3,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x3,1.4,1.59,1.2,0.98,dreadnought_gun_c_305_x3,1.4,1.59,1.2,0.98,,,,,,,,,,
"gun_17_x1_austria_bb, bc, ca",,432,gun_17_x1,austria,"bb, bc, ca",dreadnought_gun_c_305_x1,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x1,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x1,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x1,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x1,1.52,1.63,1.2,0.96,,,,,,,,,,
"gun_17_x2_austria_bb, bc, ca",,432,gun_17_x2,austria,"bb, bc, ca",dreadnought_gun_c_305_x2,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x2,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x2,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x2,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x2,1.52,1.63,1.2,0.96,,,,,,,,,,
"gun_17_x3_austria_bb, bc, ca",,432,gun_17_x3,austria,"bb, bc, ca",dreadnought_gun_c_305_x3,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x3,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x3,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x3,1.52,1.63,1.2,0.96,dreadnought_gun_c_305_x3,1.52,1.63,1.2,0.96,,,,,,,,,,
"gun_18_x1_austria_bb, bc, ca",,457,gun_18_x1,austria,"bb, bc, ca",dreadnought_gun_c_305_x1,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x1,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x1,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x1,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x1,1.64,1.79,1.2,0.94,,,,,,,,,,
"gun_18_x2_austria_bb, bc, ca",,457,gun_18_x2,austria,"bb, bc, ca",dreadnought_gun_c_305_x2,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x2,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x2,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x2,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x2,1.64,1.79,1.2,0.94,,,,,,,,,,
"gun_18_x3_austria_bb, bc, ca",,457,gun_18_x3,austria,"bb, bc, ca",dreadnought_gun_c_305_x3,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x3,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x3,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x3,1.64,1.79,1.2,0.94,dreadnought_gun_c_305_x3,1.64,1.79,1.2,0.94,,,,,,,,,,
"gun_19_x1_austria_bb, bc, ca",,483,gun_19_x1,austria,"bb, bc, ca",dreadnought_gun_c_305_x1,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x1,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x1,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x1,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x1,1.8,1.89,1.2,0.9,,,,,,,,,,
"gun_19_x2_austria_bb, bc, ca",,483,gun_19_x2,austria,"bb, bc, ca",dreadnought_gun_c_305_x2,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x2,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x2,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x2,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x2,1.8,1.89,1.2,0.9,,,,,,,,,,
"gun_19_x3_austria_bb, bc, ca",,483,gun_19_x3,austria,"bb, bc, ca",dreadnought_gun_c_305_x3,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x3,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x3,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x3,1.8,1.89,1.2,0.9,dreadnought_gun_c_305_x3,1.78,1.89,1.2,0.9,,,,,,,,,,
"gun_20_x1_austria_bb, bc, ca",,508,gun_20_x1,austria,"bb, bc, ca",dreadnought_gun_c_305_x1,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x1,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x1,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x1,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x1,1.9,1.99,1.2,0.88,,,,,,,,,,
"gun_20_x2_austria_bb, bc, ca",,508,gun_20_x2,austria,"bb, bc, ca",dreadnought_gun_c_305_x2,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x2,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x2,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x2,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x2,1.9,1.99,1.2,0.88,,,,,,,,,,
"gun_20_x3_austria_bb, bc, ca",,508,gun_20_x3,austria,"bb, bc, ca",dreadnought_gun_c_305_x3,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x3,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x3,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x3,1.9,1.99,1.2,0.88,dreadnought_gun_c_305_x3,1.9,1.99,1.2,0.88,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_3_x1_italy_ca, cl, dd",,76,gun_3_x1,"italy, argentina, greece","ca, cl, dd,tb",,,,,,,,,,,pola_gun_100_x1,0.825,1.048,1.04,1.678,pola_gun_100_x1,0.825,1.048,1.04,1.678,pola_gun_100_x1,0.825,1.048,1.04,1.678,,,,,,,,,,
"gun_3_x2_italy_ca, cl, dd",,76,gun_3_x2,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,pola_gun_100_x2,0.825,1.048,1.04,1.678,pola_gun_100_x2,0.825,1.048,1.04,1.678,pola_gun_100_x2,0.825,1.048,1.04,1.678,,,,,,,,,,
"gun_3_x3_italy_ca, cl, dd",,76,gun_3_x3,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,pola_gun_100_x3,0.825,1.048,1.04,1.678,pola_gun_100_x3,0.825,1.048,1.04,1.678,pola_gun_100_x3,0.825,1.048,1.04,1.678,,,,,,,,,,
"gun_4_x1_italy_ca, cl, dd",,102,gun_4_x1,"italy, argentina, greece","ca, cl, dd,tb",,,,,,,,,,,pola_gun_100_x1,1.075,1.23,1.04,1.42,pola_gun_100_x1,1.075,1.23,1.04,1.42,pola_gun_100_x1,1.075,1.23,1.04,1.42,,,,,,,,,,
"gun_4_x2_italy_ca, cl, dd",,102,gun_4_x2,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,pola_gun_100_x2,1.075,1.23,1.04,1.42,pola_gun_100_x2,1.075,1.23,1.04,1.42,pola_gun_100_x2,1.075,1.23,1.04,1.42,,,,,,,,,,
"gun_4_x3_italy_ca, cl, dd",,102,gun_4_x3,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,pola_gun_100_x3,1.075,1.23,1.04,1.42,pola_gun_100_x3,1.075,1.23,1.04,1.42,pola_gun_100_x3,1.075,1.23,1.04,1.42,,,,,,,,,,
"gun_3_x1_italy_bb, bc",,76,gun_3_x1,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x1,0.8713,1.0491,1.04,1.66,litt_gun_90_x1,0.8713,1.0491,1.04,1.66,litt_gun_90_x1,0.8713,1.0491,1.04,1.66,,,,,,,,,,
"gun_3_x2_italy_bb, bc",,76,gun_3_x2,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x2,0.8713,1.0491,1.04,1.66,litt_gun_90_x2,0.8713,1.0491,1.04,1.66,litt_gun_90_x2,0.8713,1.0491,1.04,1.66,,,,,,,,,,
"gun_3_x3_italy_bb, bc",,76,gun_3_x3,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x3,0.8713,1.0491,1.04,1.66,litt_gun_90_x3,0.8713,1.0491,1.04,1.66,litt_gun_90_x3,0.8713,1.0491,1.04,1.66,,,,,,,,,,
"gun_4_x1_italy_bb, bc",,102,gun_4_x1,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x1,1.076414063,1.29,1.04,1.47,litt_gun_90_x1,1.063125,1.28334375,1.02,,litt_gun_90_x1,1.076414063,1.29,1.04,1.47,,,,,,,,,,
"gun_4_x2_italy_bb, bc",,102,gun_4_x2,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x2,1.076414063,1.29,1.04,1.47,litt_gun_90_x2,1.063125,1.28334375,1.02,,litt_gun_90_x2,1.076414063,1.29,1.04,1.47,,,,,,,,,,
"gun_4_x3_italy_bb, bc",,102,gun_4_x3,"italy, argentina, greece","bb, bc",,,,,,,,,,,litt_gun_90_x3,1.076414063,1.29,1.04,1.47,litt_gun_90_x3,1.063125,1.28334375,1.02,,litt_gun_90_x3,1.076414063,1.29,1.04,1.47,,,,,,,,,,
"gun_5_x1_italy_ca, cl, dd",,127,gun_5_x1,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,litt_gun_90_x1,1.332,1.537,1.04,1.163,litt_gun_90_x1,1.332,1.537,1.04,1.163,litt_gun_90_x1,1.332,1.537,1.04,1.163,,,,,,,,,,
"gun_5_x2_italy_ca, cl, dd",,127,gun_5_x2,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,litt_gun_90_x2,1.332,1.537,1.04,1.163,litt_gun_90_x2,1.332,1.537,1.04,1.163,litt_gun_90_x2,1.332,1.537,1.04,1.163,,,,,,,,,,
"gun_5_x3_italy_ca, cl, dd",,127,gun_5_x3,"italy, argentina, greece","ca, cl, dd",,,,,,,,,,,litt_gun_90_x3,1.332,1.537,1.04,1.163,litt_gun_90_x3,1.332,1.537,1.04,1.163,litt_gun_90_x3,1.332,1.537,1.04,1.163,,,,,,,,,,
"gun_5_x1_italy_bb, bc",,127,gun_5_x1,"italy, argentina, greece","bb, bc",,,,,,,,,,,pola_gun_100_x1,1.25,1.51125,1,1.18,litt_gun_152a_x1,0.8,0.86,1.27,1.47,litt_gun_152a_x1,0.8,0.86,1.27,1.47,,,,,,,,,,
"gun_5_x2_italy_bb, bc",,127,gun_5_x2,"italy, argentina, greece","bb, bc",,,,,,,,,,,pola_gun_100_x2,1.25,1.51125,1,1.18,litt_gun_152a_x2,0.8,0.86,1.27,1.47,litt_gun_152a_x2,0.8,0.86,1.27,1.47,,,,,,,,,,
"gun_5_x3_italy_bb, bc",,127,gun_5_x3,"italy, argentina, greece","bb, bc",,,,,,,,,,,pola_gun_100_x3,1.25,1.51125,1,1.18,litt_gun_152a_x3,0.8,0.86,1.27,1.47,litt_gun_152a_x3,0.8,0.86,1.27,1.47,,,,,,,,,,
"gun_6_x1_italy_bb, bc",,152,gun_6_x1,"italy, argentina, greece","bb, bc",friedrich_gun_228_x1,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x1,1.55,1.681875,1,1.093,litt_gun_152a_x1,0.86,0.95,1.32,1.57,litt_gun_152_x1,0.86,0.95,1.32,1.57,,,,,,,,,,
"gun_6_x2_italy_bb, bc",,152,gun_6_x2,"italy, argentina, greece","bb, bc",friedrich_gun_228_x2,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x2,1.55,1.681875,1,1.093,litt_gun_152a_x2,0.86,0.95,1.32,1.57,litt_gun_152_x2,0.86,0.95,1.32,1.57,,,,,,,,,,
"gun_6_x3_italy_bb, bc",,152,gun_6_x3,"italy, argentina","bb, bc",friedrich_gun_228_x3,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x3,1.55,1.681875,1,1.093,litt_gun_152a_x3,0.86,0.95,1.32,1.57,litt_gun_152_x3,0.86,0.95,1.32,1.57,,,,,,,,,,
gun_6_x1_italy_cl_ca,,152,gun_6_x1,"italy, argentina, greece","cl, ca",friedrich_gun_228_x1,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x1,1.55,1.681875,1,1.093,mont_gun_152_x1,1,1.1,1.32,1.34,mont_gun_152_x1,1,1.1,1.32,1.34,,,,,,,,,,
gun_6_x2_italy_cl_ca,,152,gun_6_x2,"italy, argentina, greece","cl, ca",friedrich_gun_228_x2,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x2,1.55,1.681875,1,1.093,mont_gun_152_x2,1,1.1,1.32,1.34,mont_gun_152_x2,1,1.1,1.32,1.34,,,,,,,,,,
gun_6_x3_italy_cl_ca,,152,gun_6_x3,"italy, argentina, greece","cl, ca",friedrich_gun_228_x3,0.7,0.78,1.25,1.4,,,,,,pola_gun_100_x3,1.55,1.681875,1,1.093,mont_gun_152_x3,1,1.1,1.32,1.34,mont_gun_152_x3,1,1.1,1.32,1.34,,,,,,,,,,
"gun_7_x1_italy_bb, bc",,178,gun_7_x1,italy,"bb, bc",friedrich_gun_228_x1,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x1,1.725,1.90125,1,1.12,litt_gun_152_x1,0.97,1.05,1.32,1.58,litt_gun_152_x1,0.97,1.05,1.32,1.58,,,,,,,,,,
"gun_7_x2_italy_bb, bc",,178,gun_7_x2,italy,"bb, bc",friedrich_gun_228_x2,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x2,1.725,1.90125,1,1.12,litt_gun_152_x2,0.97,1.05,1.32,1.58,litt_gun_152_x2,0.97,1.05,1.32,1.58,,,,,,,,,,
"gun_7_x3_italy_bb, bc",,178,gun_7_x3,italy,"bb, bc",friedrich_gun_228_x3,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x3,1.725,1.90125,1,1.12,litt_gun_152_x3,0.97,1.05,1.32,1.58,litt_gun_152_x3,0.97,1.05,1.32,1.58,,,,,,,,,,
"gun_7_x1_italy_ca, cl",,178,gun_7_x1,italy,"ca, cl",friedrich_gun_228_x1,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x1,1.725,1.90125,1,1.12,mont_gun_152_x1,1.1,1.2,1.32,1.39,mont_gun_152_x1,1.1,1.2,1.32,1.39,,,,,,,,,,
"gun_7_x2_italy_ca, cl",,178,gun_7_x2,italy,"ca, cl",friedrich_gun_228_x2,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x2,1.725,1.90125,1,1.12,mont_gun_152_x2,1.1,1.2,1.32,1.39,mont_gun_152_x2,1.1,1.2,1.32,1.39,,,,,,,,,,
"gun_7_x3_italy_ca, cl",,178,gun_7_x3,italy,"ca, cl",friedrich_gun_228_x3,0.8,0.8775,1.25,1.4,,,,,,pola_gun_100_x3,1.725,1.90125,1,1.12,mont_gun_152_x3,1.1,1.2,1.32,1.39,mont_gun_152_x3,1.1,1.2,1.32,1.39,,,,,,,,,,
